Latitudine;Longitudine;Modello regolatorio;Località;IATA
35,498;12,617; B;Lampedusa;LMP
36,814;11,965; B;Pantelleria;PNL
36,995;14,608; B;Comiso;CIY
37,466;15,066; A;Catania;CTA
37,914;12,493; B;Trapani;TPS
38,075;15,647; A con semplificazioni;Reggio Calabria;REG
38,18;13,099; A;Palermo;PMO
38,907;16,244; A con semplificazioni;Lamezia Terme;SUF
38,998;17,08; A con semplificazioni;Crotone;CRV
39,25;9,057; A con semplificazioni;Cagliari;CAG
40,512;17,405; A;Taranto;TAR
40,618;14,91; A con semplificazioni;Salerno;QSR
40,633;8,292; A con semplificazioni;Alghero;AHO
40,663;17,94; A;Brindisi;BDS
40,883;14,289; A;Napoli;NAP
40,898;9,516; A con semplificazioni;Olbia;OLB
41,138;16,771; A;Bari;BRI
41,433;15,535; A;Foggia;FOG
41,8;12,592; A;Roma Ciampino;CIA
41,806;12,255; A;Roma Fiumicino;FCO
42,434;14,186; B;Pescara;PSR
42,761;10,24; B;Elba;EBA
42,761;11,071; B;Grosseto;GRS
43,096;12,51; B;Perugia;PEG
43,616;13,363; B;Ancona;AOI
43,687;10,394; A;Pisa;PSA
43,809;11,202; A con semplificazioni;Firenze;FLR
44,019;12,614; B;Rimini;RMI
44,051;8,129; B;Albenga;ALL
44,194;12,07; B;Forlì;FRL
44,414;8,854; A con semplificazioni;Genova;GOA
44,535;11,29; A;Bologna;BLQ
44,548;7,623; B;Cuneo;CUF
44,823;10,296; B;Parma;PMF
45,2;7,647; A con semplificazioni;Torino;TRN
45,4;10,889; A con semplificazioni;Verona;VRN
45,428;10,332; A con semplificazioni;Brescia;VBS
45,453;9,275; A;Milano Linate;LIN
45,506;12,348; A;Venezia;VCE
45,628;8,722; A;Milano Malpensa;MXP
45,651;12,198; A con semplificazioni;Treviso;TSF
45,669;9,706; A;Bergamo;BGY
45,738;7,368; B;Aosta;AOT
45,828;13,474; B;Trieste;TRS
46,46;11,326; B;Bolzano;BZO
