anno,cat_code,categoria,posti_letto,esercizi
2010,01_03,4-5 stelle,25998.0,362.0
2010,05,3 stelle,65664.0,1542.0
2010,07_09,1-2 stelle,38418.0,1574.0
2010,11,Residence,20855.0,791.0
2010,17,Campeggi,12542.0,43.0
2010,21,Alloggi privati,25404.0,3125.0
2010,23,Agriturismi,21655.0,2604.0
2010,99,Altri esercizi,8430.0,193.0
2010,A,Alberghiero,150934.0,4268.0
2010,E,Extralberghiero,68030.0,5965.0
2010,TOTAL,Totale,218964.0,10234.0
2011,01_03,4-5 stelle,27121.0,377.0
2011,05,3 stelle,65779.0,1547.0
2011,07_09,1-2 stelle,37044.0,1519.0
2011,11,Residence,21074.0,797.0
2011,17,Campeggi,12708.0,44.0
2011,21,Alloggi privati,25259.0,3121.0
2011,23,Agriturismi,22155.0,2659.0
2011,99,Altri esercizi,8462.0,193.0
2011,A,Alberghiero,151018.0,4239.0
2011,E,Extralberghiero,68585.0,6016.0
2011,TOTAL,Totale,219603.0,10255.0
2012,01_03,4-5 stelle,28413.0,394.0
2012,05,3 stelle,65992.0,1550.0
2012,07_09,1-2 stelle,35760.0,1465.0
2012,11,Residence,21423.0,811.0
2012,17,Campeggi,13108.0,45.0
2012,21,Alloggi privati,24992.0,3094.0
2012,23,Agriturismi,22440.0,2674.0
2012,99,Altri esercizi,8472.0,192.0
2012,A,Alberghiero,151588.0,4219.0
2012,E,Extralberghiero,69012.0,6005.0
2012,TOTAL,Totale,220600.0,10224.0
2013,01_03,4-5 stelle,29180.0,407.0
2013,05,3 stelle,65757.0,1554.0
2013,07_09,1-2 stelle,34822.0,1425.0
2013,11,Residence,21546.0,814.0
2013,17,Campeggi,13137.0,46.0
2013,21,Alloggi privati,24609.0,3056.0
2013,23,Agriturismi,22678.0,2699.0
2013,99,Altri esercizi,8417.0,196.0
2013,A,Alberghiero,151306.0,4199.0
2013,E,Extralberghiero,68840.0,5996.0
2013,TOTAL,Totale,220145.0,10196.0
2014,01_03,4-5 stelle,31336.0,442.0
2014,05,3 stelle,65666.0,1583.0
2014,07_09,1-2 stelle,31575.0,1287.0
2014,11,Residence,21775.0,814.0
2014,17,Campeggi,12683.0,47.0
2014,21,Alloggi privati,23227.0,2901.0
2014,23,Agriturismi,23714.0,2805.0
2014,99,Altri esercizi,8526.0,229.0
2014,A,Alberghiero,150352.0,4126.0
2014,E,Extralberghiero,68149.0,5982.0
2014,TOTAL,Totale,218501.0,10108.0
2015,01_03,4-5 stelle,31891.0,450.0
2015,05,3 stelle,65699.0,1582.0
2015,07_09,1-2 stelle,30647.0,1247.0
2015,11,Residence,20983.0,805.0
2015,17,Campeggi,12743.0,47.0
2015,21,Alloggi privati,23372.0,2837.0
2015,23,Agriturismi,24292.0,2802.0
2015,99,Altri esercizi,9046.0,271.0
2015,A,Alberghiero,149220.0,4084.0
2015,E,Extralberghiero,69452.0,5957.0
2015,TOTAL,Totale,218672.0,10041.0
2016,01_03,4-5 stelle,33441.0,465.0
2016,05,3 stelle,65999.0,1585.0
2016,07_09,1-2 stelle,29790.0,1210.0
2016,11,Residence,20854.0,806.0
2016,17,Campeggi,12406.0,48.0
2016,21,Alloggi privati,23495.0,2860.0
2016,23,Agriturismi,24578.0,2806.0
2016,99,Altri esercizi,9408.0,287.0
2016,A,Alberghiero,150084.0,4066.0
2016,E,Extralberghiero,69887.0,6000.0
2016,TOTAL,Totale,219971.0,10066.0
2017,01_03,4-5 stelle,34933.0,488.0
2017,05,3 stelle,65943.0,1585.0
2017,07_09,1-2 stelle,29097.0,1178.0
2017,11,Residence,20915.0,815.0
2017,17,Campeggi,12703.0,48.0
2017,21,Alloggi privati,23578.0,2882.0
2017,23,Agriturismi,24750.0,2813.0
2017,99,Altri esercizi,9921.0,337.0
2017,A,Alberghiero,150887.0,4065.0
2017,E,Extralberghiero,70952.0,6080.0
2017,TOTAL,Totale,221839.0,10145.0
2018,01_03,4-5 stelle,36319.0,506.0
2018,05,3 stelle,65405.0,1575.0
2018,07_09,1-2 stelle,28303.0,1134.0
2018,11,Residence,21168.0,826.0
2018,17,Campeggi,13237.0,50.0
2018,21,Alloggi privati,23885.0,2958.0
2018,23,Agriturismi,25145.0,2848.0
2018,99,Altri esercizi,10408.0,398.0
2018,A,Alberghiero,151194.0,4040.0
2018,E,Extralberghiero,72674.0,6255.0
2018,TOTAL,Totale,223869.0,10295.0
2019,01_03,4-5 stelle,37944.0,524.0
2019,05,3 stelle,63960.0,1543.0
2019,07_09,1-2 stelle,26926.0,1065.0
2019,11,Residence,21039.0,821.0
2019,17,Campeggi,14172.0,52.0
2019,21,Alloggi privati,24337.0,3067.0
2019,23,Agriturismi,25565.0,2877.0
2019,99,Altri esercizi,10884.0,449.0
2019,A,Alberghiero,149869.0,3953.0
2019,E,Extralberghiero,74958.0,6445.0
2019,TOTAL,Totale,224827.0,10399.0
2020,01_03,4-5 stelle,40809.0,559.0
2020,05,3 stelle,62890.0,1522.0
2020,07_09,1-2 stelle,26053.0,1030.0
2020,11,Residence,21823.0,842.0
2020,17,Campeggi,14492.0,54.0
2020,21,Alloggi privati,25609.0,3275.0
2020,23,Agriturismi,25948.0,2907.0
2020,99,Altri esercizi,10014.0,386.0
2020,A,Alberghiero,151575.0,3953.0
2020,E,Extralberghiero,76064.0,6622.0
2020,TOTAL,Totale,227639.0,10574.0
2021,01_03,4-5 stelle,41931.0,568.0
2021,05,3 stelle,62167.0,1509.0
2021,07_09,1-2 stelle,25784.0,1011.0
2021,11,Residence,22081.0,852.0
2021,17,Campeggi,14687.0,55.0
2021,21,Alloggi privati,26278.0,3396.0
2021,23,Agriturismi,26288.0,2922.0
2021,99,Altri esercizi,10008.0,398.0
2021,A,Alberghiero,151963.0,3940.0
2021,E,Extralberghiero,77261.0,6770.0
2021,TOTAL,Totale,229223.0,10710.0
2022,01_03,4-5 stelle,43500.0,577.0
2022,05,3 stelle,61887.0,1494.0
2022,07_09,1-2 stelle,25147.0,981.0
2022,11,Residence,22402.0,867.0
2022,17,Campeggi,15120.0,58.0
2022,21,Alloggi privati,27933.0,3703.0
2022,23,Agriturismi,26940.0,2953.0
2022,99,Altri esercizi,10917.0,495.0
2022,A,Alberghiero,152936.0,3920.0
