date,pax
2008-01-01,24783.0
2008-02-01,24573.0
2008-03-01,28487.0
2008-04-01,36293.0
2008-05-01,39237.0
2008-06-01,38204.0
2008-07-01,41501.0
2008-08-01,35595.0
2008-09-01,36505.0
2008-10-01,32859.0
2008-11-01,21834.0
2008-12-01,20923.0
2009-01-01,19586.0
2009-02-01,20613.0
2009-03-01,23895.0
2009-04-01,24197.0
2009-05-01,24601.0
2009-06-01,26135.0
2009-07-01,50005.0
2009-08-01,47678.0
2009-09-01,46514.0
2009-10-01,45835.0
2009-11-01,38914.0
2009-12-01,38868.0
2010-01-01,37666.0
2010-02-01,40977.0
2010-03-01,47800.0
2010-04-01,39765.0
2010-05-01,50678.0
2010-06-01,50451.0
2010-07-01,64067.0
2010-08-01,60472.0
2010-09-01,54585.0
2010-10-01,51702.0
2010-11-01,39176.0
2010-12-01,36771.0
2011-01-01,33747.0
2011-02-01,35793.0
2011-03-01,48748.0
2011-04-01,59518.0
2011-05-01,65861.0
2011-06-01,68202.0
2011-07-01,76713.0
2011-08-01,75335.0
2011-09-01,71652.0
2011-10-01,68838.0
2011-11-01,49429.0
2011-12-01,48357.0
2012-01-01,44929.0
2012-02-01,37574.0
2012-03-01,57123.0
2012-04-01,64996.0
2012-05-01,67195.0
2012-06-01,68045.0
2012-07-01,79787.0
2012-08-01,78297.0
2012-09-01,73109.0
2012-10-01,68347.0
2012-11-01,51213.0
2012-12-01,49476.0
2013-01-01,43838.0
2013-02-01,41771.0
2013-03-01,51024.0
2013-04-01,66615.0
2013-05-01,68926.0
2013-06-01,70358.0
2013-07-01,78982.0
2013-08-01,76656.0
2013-09-01,73935.0
2013-10-01,65685.0
2013-11-01,53306.0
2013-12-01,51230.0
2014-01-01,44539.0
2014-02-01,46030.0
2014-03-01,54137.0
2014-04-01,63128.0
2014-05-01,47309.0
2014-06-01,68189.0
2014-07-01,80583.0
2014-08-01,70094.0
2014-09-01,71238.0
2014-10-01,71953.0
2014-11-01,59340.0
2014-12-01,58188.0
2015-01-01,50767.0
2015-02-01,52681.0
2015-03-01,59746.0
2015-04-01,72129.0
2015-05-01,75979.0
2015-06-01,78598.0
2015-07-01,84396.0
2015-08-01,75018.0
2015-09-01,80603.0
2015-10-01,82655.0
2015-11-01,62794.0
2015-12-01,61374.0
2016-01-01,51271.0
2016-02-01,59610.0
2016-03-01,63924.0
2016-04-01,69816.0
2016-05-01,73378.0
2016-06-01,69751.0
2016-07-01,76253.0
2016-08-01,70664.0
2016-09-01,69824.0
2016-10-01,75372.0
2016-11-01,38463.0
2016-12-01,59165.0
2017-01-01,53086.0
2017-02-01,57541.0
2017-03-01,70161.0
2017-04-01,84422.0
2017-05-01,91010.0
2017-06-01,88015.0
2017-07-01,93880.0
2017-08-01,83184.0
2017-09-01,88513.0
2017-10-01,87937.0
2017-11-01,64582.0
2017-12-01,58201.0
2018-01-01,57938.0
2018-02-01,54385.0
2018-03-01,65845.0
2018-04-01,82280.0
2018-05-01,87845.0
2018-06-01,85769.0
2018-07-01,93659.0
2018-08-01,80404.0
2018-09-01,82158.0
2018-10-01,85260.0
2018-11-01,65955.0
2018-12-01,62491.0
2019-01-01,60278.0
2019-02-01,59211.0
2019-03-01,67867.0
2019-04-01,87916.0
2019-05-01,90503.0
2019-06-01,90806.0
2019-07-01,97948.0
2019-08-01,82601.0
2019-09-01,80463.0
2019-10-01,75438.0
2019-11-01,62731.0
2019-12-01,67188.0
2020-01-01,50923.0
2020-02-01,43593.0
2020-03-01,5811.0
2020-04-01,2.0
2020-06-01,1384.0
2020-07-01,14510.0
2020-08-01,21279.0
2020-09-01,18464.0
2020-10-01,17606.0
2020-11-01,4301.0
2020-12-01,5153.0
2021-01-01,4438.0
2021-02-01,3101.0
2021-03-01,3843.0
2021-04-01,9957.0
2021-05-01,16808.0
2021-06-01,35982.0
2021-07-01,53252.0
2021-08-01,54375.0
2021-09-01,54498.0
2021-10-01,56861.0
2021-11-01,58916.0
2021-12-01,58566.0
2022-01-01,30739.0
2022-02-01,43310.0
2022-03-01,58917.0
2022-04-01,86186.0
2022-05-01,94704.0
2022-06-01,101893.0
2022-07-01,105686.0
2022-08-01,104300.0
2022-09-01,106559.0
2022-10-01,90670.0
2022-11-01,66474.0
2022-12-01,67024.0
2023-01-01,62395.0
2023-02-01,57788.0
2023-03-01,72286.0
2023-04-01,119574.0
2023-05-01,127459.0
2023-06-01,127993.0
2023-07-01,132803.0
2023-08-01,122335.0
2023-09-01,112752.0
2023-10-01,114156.0
2023-11-01,52970.0
2023-12-01,54459.0
2024-01-01,53399.0
2024-02-01,49601.0
2024-03-01,63013.0
2024-04-01,92407.0
2024-05-01,99122.0
2024-06-01,104838.0
2024-07-01,113514.0
2024-08-01,114331.0
2024-09-01,104109.0
2024-10-01,91198.0
2024-11-01,58776.0
2024-12-01,62212.0
