date,presences
2019-01-01,273065.0
2019-02-01,309547.0
2019-03-01,351520.0
2019-04-01,413018.0
2019-05-01,549711.0
2019-06-01,659694.0
2019-07-01,998378.0
2019-08-01,1027273.0
2019-09-01,540521.0
2019-10-01,366583.0
2019-11-01,283434.0
2019-12-01,279528.0
2020-01-01,200891.0
2020-02-01,182255.0
2020-03-01,91027.0
2020-04-01,63774.0
2020-05-01,82510.0
2020-06-01,209387.0
2020-07-01,564424.0
2020-08-01,785548.0
2020-09-01,400267.0
2020-10-01,220989.0
2020-11-01,100291.0
2020-12-01,101188.0
2021-01-01,99323.0
2021-02-01,115198.0
2021-03-01,107405.0
2021-04-01,102370.0
2021-05-01,240927.0
2021-06-01,404291.0
2021-07-01,766467.0
2021-08-01,1043224.0
2021-09-01,512861.0
2021-10-01,336089.0
2021-11-01,227878.0
2021-12-01,191480.0
2022-01-01,166229.0
2022-02-01,195454.0
2022-03-01,220073.0
2022-04-01,401621.0
2022-05-01,551203.0
2022-06-01,681121.0
2022-07-01,916392.0
2022-08-01,1035383.0
2022-09-01,562864.0
2022-10-01,356152.0
2022-11-01,234269.0
2022-12-01,226271.0
2023-01-01,224407.0
2023-02-01,213186.0
2023-03-01,259002.0
2023-04-01,488012.0
2023-05-01,470472.0
2023-06-01,667607.0
2023-07-01,987146.0
2023-08-01,1067656.0
2023-09-01,603816.0
2023-10-01,351383.0
2023-11-01,240504.0
2023-12-01,244905.0
2024-01-01,213651.0
2024-02-01,214818.0
2024-03-01,285903.0
2024-04-01,370409.0
2024-05-01,568595.0
2024-06-01,585844.0
2024-07-01,972911.0
2024-08-01,1090162.0
2024-09-01,585355.0
2024-10-01,343588.0
2024-11-01,250954.0
2024-12-01,230366.0
2025-01-01,373973.0
2025-02-01,376947.0
2025-03-01,460380.0
2025-04-01,671150.0
2025-05-01,800145.0
2025-06-01,1008984.0
2025-07-01,1525966.0
2025-08-01,1658823.0
2025-09-01,928614.0
2025-10-01,640142.0
2025-11-01,431163.0
2025-12-01,467789.0
