date,presences
2019-01-01,5285.0
2019-02-01,7640.0
2019-03-01,8554.0
2019-04-01,11486.0
2019-05-01,13681.0
2019-06-01,11689.0
2019-07-01,13175.0
2019-08-01,9900.0
2019-09-01,13351.0
2019-10-01,12310.0
2019-11-01,9598.0
2019-12-01,5832.0
2020-01-01,5696.0
2020-02-01,6641.0
2020-03-01,742.0
2020-04-01,131.0
2020-05-01,351.0
2020-06-01,1991.0
2020-07-01,4741.0
2020-08-01,6036.0
2020-09-01,7357.0
2020-10-01,4760.0
2020-11-01,2243.0
2020-12-01,1305.0
2021-01-01,1144.0
2021-02-01,1959.0
2021-03-01,1740.0
2021-04-01,2126.0
2021-05-01,3892.0
2021-06-01,4429.0
2021-07-01,14017.0
2021-08-01,14811.0
2021-09-01,12284.0
2021-10-01,9455.0
2021-11-01,5939.0
2021-12-01,4296.0
2022-01-01,2794.0
2022-02-01,5292.0
2022-03-01,5773.0
2022-04-01,9117.0
2022-05-01,10898.0
2022-06-01,13431.0
2022-07-01,18731.0
2022-08-01,13790.0
2022-09-01,14666.0
2022-10-01,12021.0
2022-11-01,8664.0
2022-12-01,6243.0
2023-01-01,4980.0
2023-02-01,7772.0
2023-03-01,9088.0
2023-04-01,13942.0
2023-05-01,14629.0
2023-06-01,16458.0
2023-07-01,18142.0
2023-08-01,16390.0
2023-09-01,18405.0
2023-10-01,13903.0
2023-11-01,7928.0
2023-12-01,5954.0
2024-01-01,5621.0
2024-02-01,8047.0
2024-03-01,9758.0
2024-04-01,12522.0
2024-05-01,17651.0
2024-06-01,15637.0
2024-07-01,19140.0
2024-08-01,17539.0
2024-09-01,17290.0
2024-10-01,13301.0
2024-11-01,8968.0
2024-12-01,6120.0
