date,presences
2019-01-01,1340707.0
2019-02-01,1426216.0
2019-03-01,1876518.0
2019-04-01,2492331.0
2019-05-01,2788248.0
2019-06-01,4029018.0
2019-07-01,4703229.0
2019-08-01,5083421.0
2019-09-01,3661353.0
2019-10-01,2504016.0
2019-11-01,1548652.0
2019-12-01,1381480.0
2020-01-01,1413818.0
2020-02-01,1369846.0
2020-03-01,187892.0
2020-04-01,45532.0
2020-05-01,123565.0
2020-06-01,742576.0
2020-07-01,2135123.0
2020-08-01,3367266.0
2020-09-01,2054731.0
2020-10-01,896400.0
2020-11-01,295060.0
2020-12-01,244845.0
2021-01-01,215579.0
2021-02-01,390259.0
2021-03-01,307337.0
2021-04-01,307348.0
2021-05-01,847394.0
2021-06-01,2188923.0
2021-07-01,3814559.0
2021-08-01,4904206.0
2021-09-01,3223266.0
2021-10-01,1989688.0
2021-11-01,1125559.0
2021-12-01,958213.0
2022-01-01,759234.0
2022-02-01,938686.0
2022-03-01,1276820.0
2022-04-01,2053247.0
2022-05-01,2470306.0
2022-06-01,3784957.0
2022-07-01,4419286.0
2022-08-01,4729724.0
2022-09-01,3305015.0
2022-10-01,2253708.0
2022-11-01,1305644.0
2022-12-01,1245349.0
2023-01-01,1252964.0
2023-02-01,1348846.0
2023-03-01,1629676.0
2023-04-01,2368957.0
2023-05-01,2679634.0
2023-06-01,3730285.0
2023-07-01,4452299.0
2023-08-01,4662767.0
2023-09-01,3529338.0
2023-10-01,2263116.0
2023-11-01,1366587.0
2023-12-01,1342825.0
2024-01-01,1282949.0
2024-02-01,1449682.0
2024-03-01,1819412.0
2024-04-01,2150170.0
2024-05-01,2953883.0
2024-06-01,3522797.0
2024-07-01,4388228.0
2024-08-01,4644967.0
2024-09-01,3396858.0
2024-10-01,2249419.0
2024-11-01,1466260.0
2024-12-01,1307358.0
2025-01-01,1285814.0
2025-02-01,1364559.0
2025-03-01,1690437.0
2025-04-01,2201679.0
2025-05-01,2798607.0
2025-06-01,3770034.0
2025-07-01,4419770.0
2025-08-01,4560483.0
2025-09-01,3436566.0
2025-10-01,2318764.0
2025-11-01,1405620.0
2025-12-01,1457740.0
