date,presences
2019-01-01,127032.0
2019-02-01,114632.0
2019-03-01,185265.0
2019-04-01,333346.0
2019-05-01,299246.0
2019-06-01,290736.0
2019-07-01,314901.0
2019-08-01,414798.0
2019-09-01,313235.0
2019-10-01,303930.0
2019-11-01,193172.0
2019-12-01,189109.0
2020-01-01,146153.0
2020-02-01,116385.0
2020-03-01,21202.0
2020-04-01,4804.0
2020-05-01,14372.0
2020-06-01,68714.0
2020-07-01,175498.0
2020-08-01,411871.0
2020-09-01,211925.0
2020-10-01,144620.0
2020-11-01,41556.0
2020-12-01,36377.0
2021-01-01,35755.0
2021-02-01,37421.0
2021-03-01,47518.0
2021-04-01,45630.0
2021-05-01,97658.0
2021-06-01,167553.0
2021-07-01,291387.0
2021-08-01,496636.0
2021-09-01,320939.0
2021-10-01,296586.0
2021-11-01,161084.0
2021-12-01,166429.0
2022-01-01,105695.0
2022-02-01,89884.0
2022-03-01,125115.0
2022-04-01,261508.0
2022-05-01,269429.0
2022-06-01,302120.0
2022-07-01,345156.0
2022-08-01,466814.0
2022-09-01,352388.0
2022-10-01,347490.0
2022-11-01,185655.0
2022-12-01,203856.0
2023-01-01,164757.0
2023-02-01,119950.0
2023-03-01,177465.0
2023-04-01,330957.0
2023-05-01,320550.0
2023-06-01,316329.0
2023-07-01,349781.0
2023-08-01,426130.0
2023-09-01,383001.0
2023-10-01,332858.0
2023-11-01,204776.0
2023-12-01,222688.0
2024-01-01,164799.0
2024-02-01,141129.0
2024-03-01,228553.0
2024-04-01,320548.0
2024-05-01,343739.0
2024-06-01,318068.0
2024-07-01,346587.0
2024-08-01,421829.0
2024-09-01,346738.0
2024-10-01,348770.0
2024-11-01,256812.0
2024-12-01,229082.0
2025-01-01,177917.0
2025-02-01,147017.0
2025-03-01,237465.0
2025-04-01,335104.0
2025-05-01,391080.0
2025-06-01,339440.0
2025-07-01,370186.0
2025-08-01,438675.0
2025-09-01,392491.0
2025-10-01,373332.0
2025-11-01,261232.0
2025-12-01,245041.0
