date,presences
2019-01-01,121235.0
2019-02-01,113527.0
2019-03-01,133409.0
2019-04-01,223779.0
2019-05-01,267135.0
2019-06-01,764954.0
2019-07-01,1405065.0
2019-08-01,1718976.0
2019-09-01,431075.0
2019-10-01,147396.0
2019-11-01,155567.0
2019-12-01,155141.0
2020-01-01,154684.0
2020-02-01,148288.0
2020-03-01,132092.0
2020-04-01,113265.0
2020-05-01,121677.0
2020-06-01,383665.0
2020-07-01,1150217.0
2020-08-01,1590728.0
2020-09-01,523909.0
2020-10-01,144699.0
2020-11-01,110243.0
2020-12-01,109215.0
2021-01-01,112502.0
2021-02-01,110411.0
2021-03-01,121204.0
2021-04-01,118398.0
2021-05-01,229581.0
2021-06-01,700769.0
2021-07-01,1453355.0
2021-08-01,1812490.0
2021-09-01,580564.0
2021-10-01,133261.0
2021-11-01,96765.0
2021-12-01,107091.0
2022-01-01,123129.0
2022-02-01,119644.0
2022-03-01,141177.0
2022-04-01,206524.0
2022-05-01,276775.0
2022-06-01,848928.0
2022-07-01,1453628.0
2022-08-01,1738376.0
2022-09-01,528268.0
2022-10-01,170517.0
2022-11-01,142973.0
2022-12-01,151994.0
2023-01-01,149786.0
2023-02-01,135718.0
2023-03-01,163352.0
2023-04-01,253962.0
2023-05-01,297986.0
2023-06-01,815679.0
2023-07-01,1367312.0
2023-08-01,1592820.0
2023-09-01,580711.0
2023-10-01,162432.0
2023-11-01,105076.0
2023-12-01,111149.0
2024-01-01,88207.0
2024-02-01,85324.0
2024-03-01,119261.0
2024-04-01,181113.0
2024-05-01,290678.0
2024-06-01,754799.0
2024-07-01,1296020.0
2024-08-01,1578269.0
2024-09-01,523214.0
2024-10-01,170886.0
2024-11-01,149180.0
2024-12-01,146481.0
2025-01-01,97517.0
2025-02-01,89537.0
2025-03-01,105696.0
2025-04-01,217405.0
2025-05-01,333168.0
2025-06-01,956481.0
2025-07-01,1688043.0
2025-08-01,2145177.0
2025-09-01,682894.0
2025-10-01,218865.0
2025-11-01,149705.0
2025-12-01,164671.0
