date,presences
2019-01-01,2364.0
2019-02-01,2334.0
2019-03-01,4328.0
2019-04-01,12661.0
2019-05-01,21213.0
2019-06-01,41636.0
2019-07-01,60995.0
2019-08-01,63659.0
2019-09-01,39681.0
2019-10-01,10152.0
2019-11-01,3922.0
2019-12-01,3685.0
2020-01-01,3055.0
2020-02-01,2244.0
2020-03-01,213.0
2020-04-01,40.0
2020-05-01,154.0
2020-06-01,2290.0
2020-07-01,17923.0
2020-08-01,23851.0
2020-09-01,14028.0
2020-10-01,2726.0
2020-11-01,619.0
2020-12-01,371.0
2021-01-01,251.0
2021-02-01,495.0
2021-03-01,642.0
2021-04-01,366.0
2021-05-01,3183.0
2021-06-01,10525.0
2021-07-01,33200.0
2021-08-01,20812.0
2021-09-01,13204.0
2021-10-01,7703.0
2021-11-01,1748.0
2021-12-01,1589.0
2022-01-01,1338.0
2022-02-01,1386.0
2022-03-01,2303.0
2022-04-01,7804.0
2022-05-01,22127.0
2022-06-01,37207.0
2022-07-01,60264.0
2022-08-01,60263.0
2022-09-01,31735.0
2022-10-01,10747.0
2022-11-01,2993.0
2022-12-01,2759.0
2023-01-01,2028.0
2023-02-01,2061.0
2023-03-01,3986.0
2023-04-01,11865.0
2023-05-01,25627.0
2023-06-01,38877.0
2023-07-01,78939.0
2023-08-01,83046.0
2023-09-01,48961.0
2023-10-01,14292.0
2023-11-01,4577.0
2023-12-01,3428.0
2024-01-01,3348.0
2024-02-01,2511.0
2024-03-01,6008.0
2024-04-01,13484.0
2024-05-01,35398.0
2024-06-01,37066.0
2024-07-01,67363.0
2024-08-01,65273.0
2024-09-01,38996.0
2024-10-01,16621.0
2024-11-01,6362.0
2024-12-01,5405.0
