date,presences
2019-01-01,31020.0
2019-02-01,27408.0
2019-03-01,33219.0
2019-04-01,45302.0
2019-05-01,42326.0
2019-06-01,80186.0
2019-07-01,142870.0
2019-08-01,196126.0
2019-09-01,82062.0
2019-10-01,43951.0
2019-11-01,49442.0
2019-12-01,36250.0
2020-01-01,35628.0
2020-02-01,31697.0
2020-03-01,9299.0
2020-04-01,4511.0
2020-05-01,6807.0
2020-06-01,27563.0
2020-07-01,119396.0
2020-08-01,184764.0
2020-09-01,73587.0
2020-10-01,29770.0
2020-11-01,10444.0
2020-12-01,9388.0
2021-01-01,11967.0
2021-02-01,12296.0
2021-03-01,15024.0
2021-04-01,15675.0
2021-05-01,27265.0
2021-06-01,71050.0
2021-07-01,159158.0
2021-08-01,203147.0
2021-09-01,78552.0
2021-10-01,40225.0
2021-11-01,27985.0
2021-12-01,26696.0
2022-01-01,21361.0
2022-02-01,21178.0
2022-03-01,24910.0
2022-04-01,35921.0
2022-05-01,48766.0
2022-06-01,91008.0
2022-07-01,154399.0
2022-08-01,193832.0
2022-09-01,83613.0
2022-10-01,40018.0
2022-11-01,34852.0
2022-12-01,36296.0
2023-01-01,32131.0
2023-02-01,32401.0
2023-03-01,37055.0
2023-04-01,50276.0
2023-05-01,55775.0
2023-06-01,113812.0
2023-07-01,163451.0
2023-08-01,193212.0
2023-09-01,90912.0
2023-10-01,52375.0
2023-11-01,42299.0
2023-12-01,46376.0
2024-01-01,43166.0
2024-02-01,45625.0
2024-03-01,53359.0
2024-04-01,58946.0
2024-05-01,81745.0
2024-06-01,125898.0
2024-07-01,177542.0
2024-08-01,212469.0
2024-09-01,84172.0
2024-10-01,61235.0
2024-11-01,56420.0
2024-12-01,43268.0
