date,presences
2019-01-01,60983.0
2019-02-01,55483.0
2019-03-01,93170.0
2019-04-01,178172.0
2019-05-01,213226.0
2019-06-01,334246.0
2019-07-01,509401.0
2019-08-01,642346.0
2019-09-01,302616.0
2019-10-01,156459.0
2019-11-01,103889.0
2019-12-01,83978.0
2020-01-01,60500.0
2020-02-01,50430.0
2020-03-01,14958.0
2020-04-01,3834.0
2020-05-01,11004.0
2020-06-01,79713.0
2020-07-01,307668.0
2020-08-01,531557.0
2020-09-01,215020.0
2020-10-01,65790.0
2020-11-01,18879.0
2020-12-01,16806.0
2021-01-01,17362.0
2021-02-01,20354.0
2021-03-01,25409.0
2021-04-01,22267.0
2021-05-01,40338.0
2021-06-01,175349.0
2021-07-01,425728.0
2021-08-01,605783.0
2021-09-01,248139.0
2021-10-01,96522.0
2021-11-01,55420.0
2021-12-01,62486.0
2022-01-01,41858.0
2022-02-01,38709.0
2022-03-01,49070.0
2022-04-01,98398.0
2022-05-01,124331.0
2022-06-01,291548.0
2022-07-01,483941.0
2022-08-01,601509.0
2022-09-01,250176.0
2022-10-01,113476.0
2022-11-01,58684.0
2022-12-01,67097.0
2023-01-01,60906.0
2023-02-01,52116.0
2023-03-01,68773.0
2023-04-01,136751.0
2023-05-01,158696.0
2023-06-01,316233.0
2023-07-01,507682.0
2023-08-01,634192.0
2023-09-01,317843.0
2023-10-01,128743.0
2023-11-01,72294.0
2023-12-01,83095.0
2024-01-01,66806.0
2024-02-01,52104.0
2024-03-01,79664.0
2024-04-01,131441.0
2024-05-01,185928.0
2024-06-01,320882.0
2024-07-01,510522.0
2024-08-01,611420.0
2024-09-01,276784.0
2024-10-01,131779.0
2024-11-01,74119.0
2024-12-01,69923.0
