date,presences
2019-01-01,17812.0
2019-02-01,13488.0
2019-03-01,29409.0
2019-04-01,61125.0
2019-05-01,67974.0
2019-06-01,92217.0
2019-07-01,148192.0
2019-08-01,204686.0
2019-09-01,92555.0
2019-10-01,50369.0
2019-11-01,25117.0
2019-12-01,24350.0
2020-01-01,17630.0
2020-02-01,12514.0
2020-03-01,4367.0
2020-04-01,1351.0
2020-05-01,1963.0
2020-06-01,22845.0
2020-07-01,90815.0
2020-08-01,171297.0
2020-09-01,63523.0
2020-10-01,19410.0
2020-11-01,4088.0
2020-12-01,3132.0
2021-01-01,3324.0
2021-02-01,3744.0
2021-03-01,5241.0
2021-04-01,4664.0
2021-05-01,11315.0
2021-06-01,53247.0
2021-07-01,123499.0
2021-08-01,187970.0
2021-09-01,67938.0
2021-10-01,31554.0
2021-11-01,16270.0
2021-12-01,20008.0
2022-01-01,13209.0
2022-02-01,10222.0
2022-03-01,13995.0
2022-04-01,35534.0
2022-05-01,42413.0
2022-06-01,65300.0
2022-07-01,116330.0
2022-08-01,166981.0
2022-09-01,64307.0
2022-10-01,36760.0
2022-11-01,15171.0
2022-12-01,21910.0
2023-01-01,20941.0
2023-02-01,13538.0
2023-03-01,25605.0
2023-04-01,54735.0
2023-05-01,61571.0
2023-06-01,75543.0
2023-07-01,136063.0
2023-08-01,200819.0
2023-09-01,91276.0
2023-10-01,47955.0
2023-11-01,22363.0
2023-12-01,28634.0
2024-01-01,24789.0
2024-02-01,13946.0
2024-03-01,26556.0
2024-04-01,51067.0
2024-05-01,62660.0
2024-06-01,80081.0
2024-07-01,134287.0
2024-08-01,183470.0
2024-09-01,88328.0
2024-10-01,46555.0
2024-11-01,20934.0
2024-12-01,22302.0
2025-01-01,24230.0
2025-02-01,17190.0
2025-03-01,33069.0
2025-04-01,66750.0
2025-05-01,84205.0
2025-06-01,114910.0
2025-07-01,168621.0
2025-08-01,234172.0
2025-09-01,119985.0
2025-10-01,66231.0
2025-11-01,27434.0
2025-12-01,33488.0
