date,presences
2019-01-01,23725.0
2019-02-01,18393.0
2019-03-01,26684.0
2019-04-01,67636.0
2019-05-01,161018.0
2019-06-01,385415.0
2019-07-01,494771.0
2019-08-01,411850.0
2019-09-01,400708.0
2019-10-01,157347.0
2019-11-01,28124.0
2019-12-01,18488.0
2020-01-01,14716.0
2020-02-01,13262.0
2020-03-01,3093.0
2020-04-01,944.0
2020-05-01,605.0
2020-06-01,5313.0
2020-07-01,54231.0
2020-08-01,71308.0
2020-09-01,89996.0
2020-10-01,45864.0
2020-11-01,5114.0
2020-12-01,3561.0
2021-01-01,4174.0
2021-02-01,4352.0
2021-03-01,4643.0
2021-04-01,4396.0
2021-05-01,8185.0
2021-06-01,40860.0
2021-07-01,159735.0
2021-08-01,158482.0
2021-09-01,153638.0
2021-10-01,72104.0
2021-11-01,11625.0
2021-12-01,6924.0
2022-01-01,6584.0
2022-02-01,6627.0
2022-03-01,11831.0
2022-04-01,28389.0
2022-05-01,103691.0
2022-06-01,191823.0
2022-07-01,292179.0
2022-08-01,223346.0
2022-09-01,219916.0
2022-10-01,86140.0
2022-11-01,10289.0
2022-12-01,8404.0
2023-01-01,10131.0
2023-02-01,9110.0
2023-03-01,15706.0
2023-04-01,33771.0
2023-05-01,138886.0
2023-06-01,243654.0
2023-07-01,342380.0
2023-08-01,316519.0
2023-09-01,252267.0
2023-10-01,104064.0
2023-11-01,11194.0
2023-12-01,8709.0
2024-01-01,8225.0
2024-02-01,8632.0
2024-03-01,14680.0
2024-04-01,39842.0
2024-05-01,163614.0
2024-06-01,253733.0
2024-07-01,343431.0
2024-08-01,291914.0
2024-09-01,301439.0
2024-10-01,147914.0
2024-11-01,18682.0
2024-12-01,14002.0
