date,presences
2019-01-01,68926.0
2019-02-01,73731.0
2019-03-01,106136.0
2019-04-01,228159.0
2019-05-01,270827.0
2019-06-01,377638.0
2019-07-01,556339.0
2019-08-01,748447.0
2019-09-01,407211.0
2019-10-01,248795.0
2019-11-01,92617.0
2019-12-01,81325.0
2020-01-01,80646.0
2020-02-01,84403.0
2020-03-01,35633.0
2020-04-01,15667.0
2020-05-01,21094.0
2020-06-01,73100.0
2020-07-01,327063.0
2020-08-01,644862.0
2020-09-01,292628.0
2020-10-01,158739.0
2020-11-01,47705.0
2020-12-01,41989.0
2021-01-01,33589.0
2021-02-01,38199.0
2021-03-01,46729.0
2021-04-01,40594.0
2021-05-01,72327.0
2021-06-01,225625.0
2021-07-01,513381.0
2021-08-01,744161.0
2021-09-01,373070.0
2021-10-01,215282.0
2021-11-01,99569.0
2021-12-01,97468.0
2022-01-01,88885.0
2022-02-01,99548.0
2022-03-01,133443.0
2022-04-01,261214.0
2022-05-01,315641.0
2022-06-01,444539.0
2022-07-01,687657.0
2022-08-01,850772.0
2022-09-01,556857.0
2022-10-01,364708.0
2022-11-01,158066.0
2022-12-01,150565.0
2023-01-01,120426.0
2023-02-01,120278.0
2023-03-01,166047.0
2023-04-01,337374.0
2023-05-01,410269.0
2023-06-01,531420.0
2023-07-01,703326.0
2023-08-01,874705.0
2023-09-01,576666.0
2023-10-01,403627.0
2023-11-01,161149.0
2023-12-01,136773.0
2024-01-01,116237.0
2024-02-01,122895.0
2024-03-01,186767.0
2024-04-01,326696.0
2024-05-01,426388.0
2024-06-01,536596.0
2024-07-01,721544.0
2024-08-01,880108.0
2024-09-01,597199.0
2024-10-01,438855.0
2024-11-01,166822.0
2024-12-01,130637.0
2025-01-01,275122.0
2025-02-01,296576.0
2025-03-01,406475.0
2025-04-01,870920.0
2025-05-01,1015257.0
2025-06-01,1308933.0
2025-07-01,1744641.0
2025-08-01,2120073.0
2025-09-01,1396961.0
2025-10-01,980628.0
2025-11-01,315484.0
2025-12-01,256056.0
