date,presences
2019-01-01,17451462.0
2019-02-01,18102339.0
2019-03-01,21432670.0
2019-04-01,28548438.0
2019-05-01,31059622.0
2019-06-01,54372738.0
2019-07-01,74677001.0
2019-08-01,84573606.0
2019-09-01,46402325.0
2019-10-01,27151590.0
2019-11-01,15308653.0
2019-12-01,17658827.0
2020-01-01,17991284.0
2020-02-01,17763905.0
2020-03-01,3863237.0
2020-04-01,1325236.0
2020-05-01,2288349.0
2020-06-01,11704846.0
2020-07-01,39957570.0
2020-08-01,64343840.0
2020-09-01,30526126.0
2020-10-01,11383735.0
2020-11-01,3771653.0
2020-12-01,3527304.0
2021-01-01,3523071.0
2021-02-01,4439497.0
2021-03-01,4247842.0
2021-04-01,4288406.0
2021-05-01,11333102.0
2021-06-01,30504121.0
2021-07-01,61842706.0
2021-08-01,79734403.0
2021-09-01,41575248.0
2021-10-01,22441211.0
2021-11-01,11723237.0
2021-12-01,13525298.0
2022-01-01,11981957.0
2022-02-01,13442993.0
2022-03-01,16002578.0
2022-04-01,24559355.0
2022-05-01,29179070.0
2022-06-01,53150195.0
2022-07-01,73949512.0
2022-08-01,82805286.0
2022-09-01,47061933.0
2022-10-01,27820865.0
2022-11-01,14536527.0
2022-12-01,17518261.0
2023-01-01,18410981.0
2023-02-01,18601577.0
2023-03-01,20418232.0
2023-04-01,30004667.0
2023-05-01,34054110.0
2023-06-01,54185713.0
2023-07-01,75265166.0
2023-08-01,82608306.0
2023-09-01,49881526.0
2023-10-01,29051851.0
2023-11-01,15738290.0
2023-12-01,18949630.0
2024-01-01,19283941.0
2024-02-01,20581607.0
2024-03-01,24157263.0
2024-04-01,28025516.0
2024-05-01,40002340.0
2024-06-01,53795179.0
2024-07-01,76710786.0
2024-08-01,84188928.0
2024-09-01,50585783.0
2024-10-01,31416979.0
2024-11-01,17700164.0
2024-12-01,19709559.0
2025-01-01,19510118.0
2025-02-01,19876181.0
2025-03-01,22329886.0
2025-04-01,29763626.0
2025-05-01,38798137.0
2025-06-01,59036969.0
2025-07-01,79066124.0
2025-08-01,85229731.0
2025-09-01,52434818.0
2025-10-01,32578759.0
2025-11-01,17254247.0
2025-12-01,20974953.0
2026-01-01,21443453.0
2026-02-01,23251359.0
2026-03-01,26939334.0
2026-04-01,36163441.0
