date,presences
2019-01-01,7714490.0
2019-02-01,9104567.0
2019-03-01,10676286.0
2019-04-01,15434020.0
2019-05-01,19119127.0
2019-06-01,29546392.0
2019-07-01,36894448.0
2019-08-01,34216463.0
2019-09-01,27364221.0
2019-10-01,17262656.0
2019-11-01,6474246.0
2019-12-01,6855768.0
2020-01-01,7883291.0
2020-02-01,9108104.0
2020-03-01,1179394.0
2020-04-01,231930.0
2020-05-01,317651.0
2020-06-01,2067938.0
2020-07-01,10573134.0
2020-08-01,15438100.0
2020-09-01,12690217.0
2020-10-01,4776369.0
2020-11-01,650492.0
2020-12-01,526987.0
2021-01-01,502362.0
2021-02-01,640089.0
2021-03-01,644179.0
2021-04-01,647209.0
2021-05-01,3486527.0
2021-06-01,9492166.0
2021-07-01,22608440.0
2021-08-01,27216979.0
2021-09-01,20574732.0
2021-10-01,11802436.0
2021-11-01,4250595.0
2021-12-01,4257461.0
2022-01-01,3881350.0
2022-02-01,5776549.0
2022-03-01,7198243.0
2022-04-01,12866335.0
2022-05-01,16817240.0
2022-06-01,27325183.0
2022-07-01,35717487.0
2022-08-01,34296007.0
2022-09-01,27365484.0
2022-10-01,16724538.0
2022-11-01,6471770.0
2022-12-01,6629248.0
2023-01-01,7566036.0
2023-02-01,9487659.0
2023-03-01,10433155.0
2023-04-01,16894983.0
2023-05-01,22454283.0
2023-06-01,29204324.0
2023-07-01,37989324.0
2023-08-01,36247678.0
2023-09-01,29981365.0
2023-10-01,19152955.0
2023-11-01,7277583.0
2023-12-01,7492910.0
2024-01-01,8678147.0
2024-02-01,10944970.0
2024-03-01,13177520.0
2024-04-01,16183884.0
2024-05-01,27571421.0
2024-06-01,29118746.0
2024-07-01,40484695.0
2024-08-01,38266053.0
2024-09-01,31496922.0
2024-10-01,21388824.0
2024-11-01,8107252.0
2024-12-01,8530009.0
2025-01-01,9121133.0
2025-02-01,10812729.0
2025-03-01,11884521.0
2025-04-01,17963939.0
2025-05-01,24108682.0
2025-06-01,35126964.0
2025-07-01,42752296.0
2025-08-01,39774292.0
2025-09-01,33223478.0
2025-10-01,22112906.0
2025-11-01,8541829.0
2025-12-01,9318645.0
2026-01-01,10373582.0
2026-02-01,13299739.0
2026-03-01,15464144.0
2026-04-01,23101679.0
