date,presences
2019-01-01,4061068.0
2019-02-01,4096961.0
2019-03-01,5007251.0
2019-04-01,8964034.0
2019-05-01,9916464.0
2019-06-01,21447033.0
2019-07-01,32169710.0
2019-08-01,37966036.0
2019-09-01,16213601.0
2019-10-01,7696581.0
2019-11-01,3793355.0
2019-12-01,4469280.0
2020-01-01,4194701.0
2020-02-01,4174599.0
2020-03-01,1411127.0
2020-04-01,728430.0
2020-05-01,1094396.0
2020-06-01,5700872.0
2020-07-01,18418288.0
2020-08-01,30114428.0
2020-09-01,12830564.0
2020-10-01,3851173.0
2020-11-01,1373814.0
2020-12-01,1288549.0
2021-01-01,1250370.0
2021-02-01,1444452.0
2021-03-01,1447640.0
2021-04-01,1486502.0
2021-05-01,4892189.0
2021-06-01,13259900.0
2021-07-01,27995402.0
2021-08-01,37079958.0
2021-09-01,16862119.0
2021-10-01,7156568.0
2021-11-01,3224939.0
2021-12-01,3541875.0
2022-01-01,3176074.0
2022-02-01,3439856.0
2022-03-01,4092889.0
2022-04-01,8504479.0
2022-05-01,10461823.0
2022-06-01,22470281.0
2022-07-01,32967184.0
2022-08-01,38025739.0
2022-09-01,18305109.0
2022-10-01,8977915.0
2022-11-01,4076193.0
2022-12-01,4847150.0
2023-01-01,4657143.0
2023-02-01,4611528.0
2023-03-01,5222667.0
2023-04-01,10693328.0
2023-05-01,12878788.0
2023-06-01,22625606.0
2023-07-01,33838060.0
2023-08-01,38492947.0
2023-09-01,19542246.0
2023-10-01,9509572.0
2023-11-01,4385323.0
2023-12-01,5351845.0
2024-01-01,5083694.0
2024-02-01,5455315.0
2024-03-01,6971275.0
2024-04-01,9923483.0
2024-05-01,16501222.0
2024-06-01,22071135.0
2024-07-01,34709979.0
2024-08-01,39527678.0
2024-09-01,20078944.0
2024-10-01,10732560.0
2024-11-01,5366116.0
2024-12-01,5825927.0
