date,presences
2008-01-01,21724.0
2008-02-01,28281.0
2008-03-01,27915.0
2008-04-01,37025.0
2008-05-01,92553.0
2008-06-01,133465.0
2008-07-01,272392.0
2008-08-01,190609.0
2008-09-01,125592.0
2008-10-01,45507.0
2008-11-01,24900.0
2008-12-01,20680.0
2009-01-01,18933.0
2009-02-01,18447.0
2009-03-01,22004.0
2009-04-01,26891.0
2009-05-01,56973.0
2009-06-01,120357.0
2009-07-01,206375.0
2009-08-01,153595.0
2009-09-01,108911.0
2009-10-01,47545.0
2009-11-01,28823.0
2009-12-01,22964.0
2010-01-01,22293.0
2010-02-01,21233.0
2010-03-01,27509.0
2010-04-01,30064.0
2010-05-01,76142.0
2010-06-01,111010.0
2010-07-01,235692.0
2010-08-01,184575.0
2010-09-01,117728.0
2010-10-01,49776.0
2010-11-01,27505.0
2010-12-01,22357.0
2011-01-01,20103.0
2011-02-01,21686.0
2011-03-01,25422.0
2011-04-01,55962.0
2011-05-01,80561.0
2011-06-01,141328.0
2011-07-01,258220.0
2011-08-01,191875.0
2011-09-01,113355.0
2011-10-01,51574.0
2011-11-01,28980.0
2011-12-01,20446.0
2012-01-01,20157.0
2012-02-01,22278.0
2012-03-01,31737.0
2012-04-01,57926.0
2012-05-01,86324.0
2012-06-01,136417.0
2012-07-01,259082.0
2012-08-01,195831.0
2012-09-01,128008.0
2012-10-01,46931.0
2012-11-01,24170.0
2012-12-01,21936.0
2013-01-01,18999.0
2013-02-01,20185.0
2013-03-01,24010.0
2013-04-01,30107.0
2013-05-01,87543.0
2013-06-01,129321.0
2013-07-01,255067.0
2013-08-01,202284.0
2013-09-01,119144.0
2013-10-01,45563.0
2013-11-01,22568.0
2013-12-01,25402.0
2014-01-01,19599.0
2014-02-01,19297.0
2014-03-01,23366.0
2014-04-01,40333.0
2014-05-01,58049.0
2014-06-01,128910.0
2014-07-01,213308.0
2014-08-01,170107.0
2014-09-01,118251.0
2014-10-01,40339.0
2014-11-01,20505.0
2014-12-01,18224.0
2015-01-01,14900.0
2015-02-01,16830.0
2015-03-01,17497.0
2015-04-01,23631.0
2015-05-01,62131.0
2015-06-01,117586.0
2015-07-01,221146.0
2015-08-01,171777.0
2015-09-01,113015.0
2015-10-01,34851.0
2015-11-01,17549.0
2015-12-01,15747.0
2016-01-01,13453.0
2016-02-01,21855.0
2016-03-01,19934.0
2016-04-01,26889.0
2016-05-01,71788.0
2016-06-01,122355.0
2016-07-01,233522.0
2016-08-01,182285.0
2016-09-01,110185.0
2016-10-01,38304.0
2016-11-01,20159.0
2016-12-01,14063.0
2017-01-01,13517.0
2017-02-01,14330.0
2017-03-01,18014.0
2017-04-01,28486.0
2017-05-01,51817.0
2017-06-01,147823.0
2017-07-01,233739.0
2017-08-01,176083.0
2017-09-01,116849.0
2017-10-01,35653.0
2017-11-01,16406.0
2017-12-01,12947.0
2018-01-01,12984.0
2018-02-01,17294.0
2018-03-01,19428.0
2018-04-01,33022.0
2018-05-01,80450.0
2018-06-01,130681.0
2018-07-01,235001.0
2018-08-01,169624.0
2018-09-01,104861.0
2018-10-01,33897.0
2018-11-01,16386.0
2018-12-01,14206.0
2019-01-01,12132.0
2019-02-01,13514.0
2019-03-01,17391.0
2019-04-01,28066.0
2019-05-01,56980.0
2019-06-01,138142.0
2019-07-01,205216.0
2019-08-01,153511.0
2019-09-01,102198.0
2019-10-01,36485.0
2019-11-01,15826.0
2019-12-01,14007.0
2020-01-01,12882.0
2020-02-01,13349.0
2020-03-01,3379.0
2020-04-01,1425.0
2020-05-01,1626.0
2020-06-01,9046.0
2020-07-01,56999.0
2020-08-01,61596.0
2020-09-01,47992.0
2020-10-01,16891.0
2020-11-01,4386.0
2020-12-01,3282.0
2021-01-01,3387.0
2021-02-01,3685.0
2021-03-01,4231.0
2021-04-01,4320.0
2021-05-01,13752.0
2021-06-01,45901.0
2021-07-01,133047.0
2021-08-01,119959.0
2021-09-01,92646.0
2021-10-01,30540.0
2021-11-01,11277.0
2021-12-01,8732.0
2022-01-01,8329.0
2022-02-01,11587.0
2022-03-01,21125.0
2022-04-01,45078.0
2022-05-01,78284.0
2022-06-01,152860.0
2022-07-01,220033.0
2022-08-01,168117.0
2022-09-01,131524.0
2022-10-01,63856.0
2022-11-01,36601.0
2022-12-01,32869.0
2023-01-01,23093.0
2023-02-01,23510.0
2023-03-01,30257.0
2023-04-01,39894.0
2023-05-01,84654.0
2023-06-01,134473.0
2023-07-01,208554.0
2023-08-01,160459.0
2023-09-01,130183.0
2023-10-01,62459.0
2023-11-01,47454.0
2023-12-01,33934.0
2024-01-01,31016.0
2024-02-01,27640.0
2024-03-01,33301.0
2024-04-01,48676.0
2024-05-01,106970.0
2024-06-01,137445.0
2024-07-01,224207.0
2024-08-01,178791.0
2024-09-01,145128.0
2024-10-01,67330.0
2024-11-01,55241.0
2024-12-01,28342.0
