anno,area,scopo,notti
2014,IT,BUS,15167000
2014,IT,HOL,246683000
2014,IT,HOLL,204685000
2014,IT,HOLS,41998000
2014,IT,TRIP,261849000
2014,ITC1,BUS,656000
2014,ITC1,HOL,5709000
2014,ITC1,HOLL,3639000
2014,ITC1,HOLS,2070000
2014,ITC1,TRIP,6365000
2014,ITC2,BUS,0
2014,ITC2,HOL,1343000
2014,ITC2,HOLL,965000
2014,ITC2,HOLS,378000
2014,ITC2,TRIP,1343000
2014,ITC3,BUS,399000
2014,ITC3,HOL,10726000
2014,ITC3,HOLL,8226000
2014,ITC3,HOLS,2500000
2014,ITC3,TRIP,11124000
2014,ITC4,BUS,2378000
2014,ITC4,HOL,19000000
2014,ITC4,HOLL,13246000
2014,ITC4,HOLS,5754000
2014,ITC4,TRIP,21378000
2014,ITD1,BUS,211000
2014,ITD1,HOL,4281000
2014,ITD1,HOLL,3442000
2014,ITD1,HOLS,839000
2014,ITD1,TRIP,4492000
2014,ITD2,BUS,88000
2014,ITD2,HOL,9901000
2014,ITD2,HOLL,8116000
2014,ITD2,HOLS,1784000
2014,ITD2,TRIP,9988000
2014,ITD3,BUS,1180000
2014,ITD3,HOL,22882000
2014,ITD3,HOLL,18349000
2014,ITD3,HOLS,4533000
2014,ITD3,TRIP,24062000
2014,ITD4,BUS,77000
2014,ITD4,HOL,3209000
2014,ITD4,HOLL,1726000
2014,ITD4,HOLS,1482000
2014,ITD4,TRIP,3286000
2014,ITD5,BUS,1123000
2014,ITD5,HOL,18690000
2014,ITD5,HOLL,13835000
2014,ITD5,HOLS,4855000
2014,ITD5,TRIP,19813000
2014,ITE1,BUS,1785000
2014,ITE1,HOL,33895000
2014,ITE1,HOLL,29999000
2014,ITE1,HOLS,3896000
2014,ITE1,TRIP,35680000
2014,ITE2,BUS,756000
2014,ITE2,HOL,5817000
2014,ITE2,HOLL,3436000
2014,ITE2,HOLS,2381000
2014,ITE2,TRIP,6573000
2014,ITE3,BUS,973000
2014,ITE3,HOL,3310000
2014,ITE3,HOLL,2563000
2014,ITE3,HOLS,746000
2014,ITE3,TRIP,4283000
2014,ITE4,BUS,2237000
2014,ITE4,HOL,11630000
2014,ITE4,HOLL,8343000
2014,ITE4,HOLS,3287000
2014,ITE4,TRIP,13867000
2014,ITF1,BUS,840000
2014,ITF1,HOL,16958000
2014,ITF1,HOLL,15981000
2014,ITF1,HOLS,977000
2014,ITF1,TRIP,17798000
2014,ITF2,BUS,0
2014,ITF2,HOL,413000
2014,ITF2,HOLL,326000
2014,ITF2,HOLS,86000
2014,ITF2,TRIP,413000
2014,ITF3,BUS,519000
2014,ITF3,HOL,13402000
2014,ITF3,HOLL,11227000
2014,ITF3,HOLS,2175000
