anno,provincia,mese,provenienza_turisti,arrivi_totale,presenze_totale,arrivi_alberghiero,presenze_alberghiero,arrivi_extra_alberghiero,presenze_extra_alberghiero
2019,Bergamo,Agosto,ABRUZZO,673,1367,520,1001,153,366
2019,Bergamo,Agosto,Altri Paesi Africa Mediterranea,219,358,180,277,39,81
2019,Bergamo,Agosto,Altri Paesi Asia Occidentale,364,730,267,528,97,202
2019,Bergamo,Agosto,Altri Paesi del Centro - Sud America,440,898,281,519,159,379
2019,Bergamo,Agosto,Altri Paesi dell'Africa,215,731,166,563,49,168
2019,Bergamo,Agosto,Altri Paesi dell'Asia,349,819,218,506,131,313
2019,Bergamo,Agosto,Altri Paesi Europei,945,2125,684,1382,261,743
2019,Bergamo,Agosto,Argentina,183,402,124,317,59,85
2019,Bergamo,Agosto,Austria,705,1473,444,780,261,693
2019,Bergamo,Agosto,Australia,476,1011,329,668,147,343
2019,Bergamo,Agosto,BASILICATA,232,551,205,438,27,113
2019,Bergamo,Agosto,Belgio,1901,5371,943,2031,958,3340
2019,Bergamo,Agosto,BOLZANO - BOZEN,373,542,300,386,73,156
2019,Bergamo,Agosto,Brasile,470,933,331,569,139,364
2019,Bergamo,Agosto,Bulgaria,711,1088,479,663,232,425
2019,Bergamo,Agosto,CALABRIA,700,1666,497,1277,203,389
2019,Bergamo,Agosto,CAMPANIA,1641,3925,1246,3021,395,904
2019,Bergamo,Agosto,Canada,292,486,212,327,80,159
2019,Bergamo,Agosto,Cina,536,864,448,748,88,116
2019,Bergamo,Agosto,Cipro,105,147,78,103,27,44
2019,Bergamo,Agosto,Corea del Sud,836,918,764,786,72,132
2019,Bergamo,Agosto,Croazia,123,278,92,218,31,60
2019,Bergamo,Agosto,Danimarca,619,1321,387,689,232,632
2019,Bergamo,Agosto,Egitto,109,166,93,124,16,42
2019,Bergamo,Agosto,EMILIA-ROMAGNA,4315,9234,2897,5359,1418,3875
2019,Bergamo,Agosto,Estonia,459,579,248,280,211,299
2019,Bergamo,Agosto,Finlandia,329,780,217,455,112,325
2019,Bergamo,Agosto,Francia,7950,15831,4252,7107,3698,8724
2019,Bergamo,Agosto,FRIULI-VENEZIA GIULIA,1078,2108,818,1657,260,451
2019,Bergamo,Agosto,Germania,6584,18575,3527,7597,3057,10978
2019,Bergamo,Agosto,Giappone,173,284,114,203,59,81
2019,Bergamo,Agosto,Grecia,341,572,219,331,122,241
2019,Bergamo,Agosto,India,135,361,105,323,30,38
2019,Bergamo,Agosto,Irlanda,994,1989,695,1220,299,769
2019,Bergamo,Agosto,Islanda,38,97,34,73,4,24
2019,Bergamo,Agosto,Israele,2449,3425,1457,2063,992,1362
2019,Bergamo,Agosto,LAZIO,3279,7742,2537,5802,742,1940
2019,Bergamo,Agosto,Lettonia,432,651,251,337,181,314
2019,Bergamo,Agosto,LIGURIA,2233,4319,1743,3278,490,1041
2019,Bergamo,Agosto,Lituania,524,753,293,374,231,379
2019,Bergamo,Agosto,LOMBARDIA,32795,117377,18582,58311,14213,59066
2019,Bergamo,Agosto,Lussemburgo,228,453,146,234,82,219
2019,Bergamo,Agosto,Malta,153,395,121,337,32,58
2019,Bergamo,Agosto,MARCHE,1144,2313,808,1493,336,820
2019,Bergamo,Agosto,Messico,167,444,96,317,71,127
2019,Bergamo,Agosto,MOLISE,256,985,214,929,42,56
2019,Bergamo,Agosto,Non specificato,104,185,16,53,88,132
2019,Bergamo,Agosto,Nord America - altri territori,1,1,1,1,0,0
2019,Bergamo,Agosto,Norvegia,461,788,335,499,126,289
2019,Bergamo,Agosto,Nuova Zelanda,55,130,26,43,29,87
2019,Bergamo,Agosto,Oceania - altri territori,13,29,9,14,4,15
2019,Bergamo,Agosto,Paesi Bassi,2719,10261,1085,2444,1634,7817
2019,Bergamo,Agosto,PIEMONTE,5788,9571,4397,7284,1391,2287
2019,Bergamo,Agosto,Polonia,3912,8822,1836,3539,2076,5283
2019,Bergamo,Agosto,Portogallo,659,1017,483,764,176,253
2019,Bergamo,Agosto,PUGLIA,1597,4659,1110,3354,487,1305
2019,Bergamo,Agosto,Regno Unito,3090,7880,1862,4098,1228,3782
