date,provincia,origine,presenze
2008-01-01,Chieti,estero,5430.0
2008-02-01,Chieti,estero,6169.0
2008-03-01,Chieti,estero,6288.0
2008-04-01,Chieti,estero,9195.0
2008-05-01,Chieti,estero,13653.0
2008-06-01,Chieti,estero,14009.0
2008-07-01,Chieti,estero,27804.0
2008-08-01,Chieti,estero,22498.0
2008-09-01,Chieti,estero,13453.0
2008-10-01,Chieti,estero,9070.0
2008-11-01,Chieti,estero,6066.0
2008-12-01,Chieti,estero,4468.0
2009-01-01,Chieti,estero,3720.0
2009-02-01,Chieti,estero,3325.0
2009-03-01,Chieti,estero,5757.0
2009-04-01,Chieti,estero,6465.0
2009-05-01,Chieti,estero,9044.0
2009-06-01,Chieti,estero,14644.0
2009-07-01,Chieti,estero,24788.0
2009-08-01,Chieti,estero,19874.0
2009-09-01,Chieti,estero,11411.0
2009-10-01,Chieti,estero,8180.0
2009-11-01,Chieti,estero,5400.0
2009-12-01,Chieti,estero,3953.0
2010-01-01,Chieti,estero,3136.0
2010-02-01,Chieti,estero,3485.0
2010-03-01,Chieti,estero,5061.0
2010-04-01,Chieti,estero,5332.0
2010-05-01,Chieti,estero,8468.0
2010-06-01,Chieti,estero,10244.0
2010-07-01,Chieti,estero,23398.0
2010-08-01,Chieti,estero,23043.0
2010-09-01,Chieti,estero,13191.0
2010-10-01,Chieti,estero,10306.0
2010-11-01,Chieti,estero,6611.0
2010-12-01,Chieti,estero,3983.0
2011-01-01,Chieti,estero,3649.0
2011-02-01,Chieti,estero,4345.0
2011-03-01,Chieti,estero,5765.0
2011-04-01,Chieti,estero,7839.0
2011-05-01,Chieti,estero,10992.0
2011-06-01,Chieti,estero,15452.0
2011-07-01,Chieti,estero,28374.0
2011-08-01,Chieti,estero,25375.0
2011-09-01,Chieti,estero,14778.0
2011-10-01,Chieti,estero,11839.0
2011-11-01,Chieti,estero,7507.0
2011-12-01,Chieti,estero,4000.0
2012-01-01,Chieti,estero,3559.0
2012-02-01,Chieti,estero,3778.0
2012-03-01,Chieti,estero,5658.0
2012-04-01,Chieti,estero,6363.0
2012-05-01,Chieti,estero,9671.0
2012-06-01,Chieti,estero,12193.0
2012-07-01,Chieti,estero,26055.0
2012-08-01,Chieti,estero,24235.0
2012-09-01,Chieti,estero,12829.0
2012-10-01,Chieti,estero,6735.0
2012-11-01,Chieti,estero,4774.0
2012-12-01,Chieti,estero,3877.0
2013-01-01,Chieti,estero,3176.0
2013-02-01,Chieti,estero,2823.0
2013-03-01,Chieti,estero,4236.0
2013-04-01,Chieti,estero,5020.0
2013-05-01,Chieti,estero,10026.0
2013-06-01,Chieti,estero,12807.0
2013-07-01,Chieti,estero,30748.0
2013-08-01,Chieti,estero,26204.0
2013-09-01,Chieti,estero,12374.0
2013-10-01,Chieti,estero,7974.0
2013-11-01,Chieti,estero,4955.0
2013-12-01,Chieti,estero,3782.0
2014-01-01,Chieti,estero,3707.0
2014-02-01,Chieti,estero,3610.0
2014-03-01,Chieti,estero,4258.0
2014-04-01,Chieti,estero,6908.0
2014-05-01,Chieti,estero,9089.0
2014-06-01,Chieti,estero,10519.0
2014-07-01,Chieti,estero,22901.0
2014-08-01,Chieti,estero,20739.0
2014-09-01,Chieti,estero,9524.0
2014-10-01,Chieti,estero,8438.0
2014-11-01,Chieti,estero,5690.0
2014-12-01,Chieti,estero,3423.0
2015-01-01,Chieti,estero,3214.0
2015-02-01,Chieti,estero,2722.0
2015-03-01,Chieti,estero,3663.0
2015-04-01,Chieti,estero,4870.0
2015-05-01,Chieti,estero,6639.0
2015-06-01,Chieti,estero,9979.0
2015-07-01,Chieti,estero,23366.0
2015-08-01,Chieti,estero,22618.0
2015-09-01,Chieti,estero,12482.0
2015-10-01,Chieti,estero,7239.0
2015-11-01,Chieti,estero,4071.0
2015-12-01,Chieti,estero,3623.0
2016-01-01,Chieti,estero,2770.0
2016-02-01,Chieti,estero,3190.0
2016-03-01,Chieti,estero,3828.0
2016-04-01,Chieti,estero,5565.0
2016-05-01,Chieti,estero,8463.0
2016-06-01,Chieti,estero,10788.0
2016-07-01,Chieti,estero,24415.0
2016-08-01,Chieti,estero,22502.0
2016-09-01,Chieti,estero,14929.0
2016-10-01,Chieti,estero,7167.0
2016-11-01,Chieti,estero,3590.0
