anno,provincia,comune,mese,arrivi,presenze,arrivi_est,presenze_est
2021,Cagliari,Assemini,1,277,838,17,76
2021,Cagliari,Assemini,2,359,1029,34,143
2021,Cagliari,Assemini,3,468,1030,18,62
2021,Cagliari,Assemini,4,420,1113,23,107
2021,Cagliari,Assemini,5,456,1107,16,67
2021,Cagliari,Assemini,6,651,1721,76,202
2021,Cagliari,Assemini,7,955,2554,272,722
2021,Cagliari,Assemini,8,1520,4701,710,2197
2021,Cagliari,Assemini,9,883,2225,182,487
2021,Cagliari,Assemini,10,846,2033,100,312
2021,Cagliari,Assemini,11,792,2036,71,309
2021,Cagliari,Assemini,12,517,1106,15,112
2021,Cagliari,Cagliari,1,5662,12093,314,941
2021,Cagliari,Cagliari,2,7844,15726,372,1347
2021,Cagliari,Cagliari,3,9557,19578,827,2254
2021,Cagliari,Cagliari,4,6245,14324,451,1822
2021,Cagliari,Cagliari,5,10699,21550,1149,3170
2021,Cagliari,Cagliari,6,18905,42053,5142,12161
2021,Cagliari,Cagliari,7,31591,77826,13966,37366
2021,Cagliari,Cagliari,8,35354,103249,16757,50859
2021,Cagliari,Cagliari,9,29995,72149,13710,35204
2021,Cagliari,Cagliari,10,25359,59291,9617,26226
2021,Cagliari,Cagliari,11,15950,35656,2708,8998
2021,Cagliari,Cagliari,12,15596,31777,1901,6482
2021,Cagliari,Capoterra,1,116,671,7,54
2021,Cagliari,Capoterra,2,137,825,8,114
2021,Cagliari,Capoterra,3,135,737,13,133
2021,Cagliari,Capoterra,4,95,341,2,15
2021,Cagliari,Capoterra,5,211,584,37,127
2021,Cagliari,Capoterra,6,947,2706,403,1263
2021,Cagliari,Capoterra,7,1682,6403,770,3260
2021,Cagliari,Capoterra,8,2286,10310,1018,4804
2021,Cagliari,Capoterra,9,1558,5475,838,3062
2021,Cagliari,Capoterra,10,1163,3237,630,2099
2021,Cagliari,Capoterra,11,205,467,42,126
2021,Cagliari,Capoterra,12,166,341,6,14
2021,Cagliari,Castiadas,2,68,114,4,44
2021,Cagliari,Castiadas,3,19,30,3,11
2021,Cagliari,Castiadas,4,11,78,0,6
2021,Cagliari,Castiadas,5,875,2158,168,600
2021,Cagliari,Castiadas,6,6704,34833,697,3494
2021,Cagliari,Castiadas,7,10741,75040,2183,14174
2021,Cagliari,Castiadas,8,10533,86884,1420,9803
2021,Cagliari,Castiadas,9,7758,53305,2901,18039
2021,Cagliari,Castiadas,10,1609,9126,922,6901
2021,Cagliari,Castiadas,11,11,39,7,33
2021,Cagliari,Castiadas,12,56,122,0,0
2021,Cagliari,Decimomannu,2,8,19,0,0
2021,Cagliari,Decimomannu,3,22,40,0,0
2021,Cagliari,Decimomannu,4,12,58,4,46
2021,Cagliari,Decimomannu,5,32,86,2,12
2021,Cagliari,Decimomannu,6,22,81,2,16
2021,Cagliari,Decimomannu,7,41,100,9,20
2021,Cagliari,Decimomannu,8,73,250,29,94
2021,Cagliari,Decimomannu,9,26,117,3,50
2021,Cagliari,Decimomannu,10,24,51,2,4
2021,Cagliari,Decimomannu,11,13,26,1,2
2021,Cagliari,Decimomannu,12,26,80,0,0
2021,Cagliari,Dolianova,2,1,4,0,0
2021,Cagliari,Dolianova,3,3,3,0,0
2021,Cagliari,Dolianova,4,3,5,2,2
2021,Cagliari,Dolianova,5,9,25,0,0
2021,Cagliari,Dolianova,6,11,62,3,3
2021,Cagliari,Dolianova,7,22,54,1,2
2021,Cagliari,Dolianova,8,72,174,17,47
2021,Cagliari,Dolianova,9,18,35,4,4
2021,Cagliari,Dolianova,10,13,17,5,6
2021,Cagliari,Dolianova,11,20,29,1,1
2021,Cagliari,Dolianova,12,9,26,0,0
2021,Cagliari,Domus De Maria,1,0,42,0,0
2021,Cagliari,Domus De Maria,2,10,16,0,0
2021,Cagliari,Domus De Maria,3,48,126,10,29
2021,Cagliari,Domus De Maria,4,10,41,1,6
2021,Cagliari,Domus De Maria,5,173,389,42,130
2021,Cagliari,Domus De Maria,6,2998,12256,771,2425
2021,Cagliari,Domus De Maria,7,6805,38869,2057,10269
2021,Cagliari,Domus De Maria,8,7373,50281,1693,9850
2021,Cagliari,Domus De Maria,9,5883,29620,2720,11512
2021,Cagliari,Domus De Maria,10,2266,9024,1693,7148
2021,Cagliari,Domus De Maria,11,9,80,8,77
2021,Cagliari,Domus De Maria,12,10,22,0,0
2021,Cagliari,Elmas,1,95,637,6,134
2021,Cagliari,Elmas,2,183,599,11,19
2021,Cagliari,Elmas,4,106,582,8,17
2021,Cagliari,Elmas,5,245,755,34,34
2021,Cagliari,Elmas,6,356,807,108,124
2021,Cagliari,Elmas,7,683,1395,277,385
2021,Cagliari,Elmas,8,848,1749,369,435
2021,Cagliari,Elmas,9,770,1679,402,580
2021,Cagliari,Elmas,10,515,1405,166,385
2021,Cagliari,Elmas,11,394,1323,57,241
2021,Cagliari,Elmas,12,240,691,17,25
2021,Cagliari,Isili,1,30,95,0,0
2021,Cagliari,Isili,2,17,32,0,0
2021,Cagliari,Isili,3,15,17,0,0
2021,Cagliari,Isili,6,21,49,2,3
2021,Cagliari,Isili,7,46,57,8,14
2021,Cagliari,Isili,8,53,102,13,25
2021,Cagliari,Isili,9,82,240,15,17
2021,Cagliari,Isili,10,41,74,10,22
2021,Cagliari,Isili,11,40,66,4,5
2021,Cagliari,Isili,12,19,23,0,0
2021,Cagliari,Mandas,0,89,412,8,8
2021,Cagliari,Mandas,1,20,130,0,0
2021,Cagliari,Mandas,6,75,222,13,20
2021,Cagliari,Mandas,7,114,224,58,108
2021,Cagliari,Mandas,8,142,218,53,75
2021,Cagliari,Mandas,9,109,275,67,137
2021,Cagliari,Mandas,10,81,178,30,46
2021,Cagliari,Mandas,11,38,61,4,22
2021,Cagliari,Mandas,12,47,149,1,1
2021,Cagliari,Maracalagonis,1,5,62,0,0
2021,Cagliari,Maracalagonis,2,4,4,0,0
2021,Cagliari,Maracalagonis,3,15,33,5,9
2021,Cagliari,Maracalagonis,4,15,49,7,25
2021,Cagliari,Maracalagonis,5,49,118,28,73
2021,Cagliari,Maracalagonis,6,1230,6557,184,1181
2021,Cagliari,Maracalagonis,7,3012,24188,616,5128
2021,Cagliari,Maracalagonis,8,3762,31226,402,3543
2021,Cagliari,Maracalagonis,9,1895,16797,321,2582
2021,Cagliari,Maracalagonis,10,269,2037,250,1965
2021,Cagliari,Maracalagonis,11,7,56,0,42
2021,Cagliari,Maracalagonis,12,15,47,0,0
2021,Cagliari,Monastir,0,110,222,9,12
2021,Cagliari,Monastir,1,118,275,0,0
2021,Cagliari,Monastir,2,34,51,2,4
2021,Cagliari,Monastir,3,38,382,0,0
2021,Cagliari,Monastir,5,33,49,3,3
2021,Cagliari,Monastir,7,99,177,29,43
2021,Cagliari,Monastir,8,114,295,47,103
2021,Cagliari,Monastir,9,90,157,13,17
2021,Cagliari,Monastir,10,82,154,8,8
2021,Cagliari,Monastir,12,65,155,5,11
2021,Cagliari,Monserrato,1,33,97,0,0
2021,Cagliari,Monserrato,2,30,84,1,5
2021,Cagliari,Monserrato,3,48,103,0,0
2021,Cagliari,Monserrato,4,40,106,0,0
2021,Cagliari,Monserrato,5,40,97,0,0
2021,Cagliari,Monserrato,6,69,226,9,15
2021,Cagliari,Monserrato,7,143,365,44,144
2021,Cagliari,Monserrato,8,201,922,75,253
2021,Cagliari,Monserrato,9,148,384,60,129
2021,Cagliari,Monserrato,10,156,273,72,116
2021,Cagliari,Monserrato,11,108,201,15,27
2021,Cagliari,Monserrato,12,116,214,13,37
2021,Cagliari,Muravera,2,16,39,3,18
2021,Cagliari,Muravera,3,75,316,2,61
2021,Cagliari,Muravera,4,10,17,0,0
2021,Cagliari,Muravera,5,1273,5050,721,3695
2021,Cagliari,Muravera,6,7490,40853,2173,11368
2021,Cagliari,Muravera,7,18947,141229,4930,35151
2021,Cagliari,Muravera,8,19750,167252,3874,27170
2021,Cagliari,Muravera,9,13625,92308,7012,40174
2021,Cagliari,Muravera,10,4131,24850,3592,23165
2021,Cagliari,Muravera,11,52,855,26,522
2021,Cagliari,Muravera,12,25,53,6,34
2021,Cagliari,Nurallao,0,334,580,94,182
2021,Cagliari,Nurallao,1,1,3,0,0
2021,Cagliari,Nurallao,2,9,11,0,0
2021,Cagliari,Orroli,0,192,658,63,138
2021,Cagliari,Orroli,1,4,4,0,0
2021,Cagliari,Orroli,2,30,58,0,0
2021,Cagliari,Pula,1,91,323,11,50
2021,Cagliari,Pula,2,126,630,16,135
2021,Cagliari,Pula,3,141,796,38,265
2021,Cagliari,Pula,4,154,658,42,264
2021,Cagliari,Pula,5,1619,4152,388,1546
2021,Cagliari,Pula,6,7164,27585,1595,6125
2021,Cagliari,Pula,7,15253,73112,5189,27873
2021,Cagliari,Pula,8,16876,98235,4849,27960
2021,Cagliari,Pula,9,11623,48498,5745,25430
2021,Cagliari,Pula,10,6750,25374,4460,19320
2021,Cagliari,Pula,11,532,1514,196,639
2021,Cagliari,Pula,12,176,350,17,57
2021,Cagliari,Quartu Sant'Elena,1,341,777,8,23
2021,Cagliari,Quartu Sant'Elena,2,463,925,10,78
2021,Cagliari,Quartu Sant'Elena,3,583,1412,29,150
2021,Cagliari,Quartu Sant'Elena,4,411,1596,24,127
2021,Cagliari,Quartu Sant'Elena,5,685,1927,107,437
2021,Cagliari,Quartu Sant'Elena,6,2904,9593,770,3023
2021,Cagliari,Quartu Sant'Elena,7,5520,25384,2285,11853
2021,Cagliari,Quartu Sant'Elena,8,8687,44517,3198,17323
2021,Cagliari,Quartu Sant'Elena,9,6006,21979,2736,11292
2021,Cagliari,Quartu Sant'Elena,10,2902,9274,1274,5389
2021,Cagliari,Quartu Sant'Elena,11,1274,3312,131,608
2021,Cagliari,Quartu Sant'Elena,12,845,2161,97,436
2021,Cagliari,Quartucciu,1,34,76,0,0
2021,Cagliari,Quartucciu,2,70,233,0,0
2021,Cagliari,Quartucciu,3,93,179,0,0
2021,Cagliari,Quartucciu,4,31,144,3,12
2021,Cagliari,Quartucciu,5,97,238,4,14
2021,Cagliari,Quartucciu,6,170,456,49,128
2021,Cagliari,Quartucciu,7,526,1427,180,655
2021,Cagliari,Quartucciu,8,691,2376,149,673
2021,Cagliari,Quartucciu,9,383,1112,131,333
2021,Cagliari,Quartucciu,10,206,596,41,110
2021,Cagliari,Quartucciu,11,102,207,3,5
2021,Cagliari,Quartucciu,12,92,192,9,27
2021,Cagliari,San Sperate,1,2,8,0,0
2021,Cagliari,San Sperate,6,6,30,4,20
2021,Cagliari,San Sperate,7,12,60,3,24
2021,Cagliari,San Sperate,8,37,219,20,122
2021,Cagliari,San Sperate,9,9,33,0,0
2021,Cagliari,San Vito,0,16,105,1,1
2021,Cagliari,San Vito,3,5,11,0,0
2021,Cagliari,San Vito,5,41,76,15,33
2021,Cagliari,San Vito,6,76,175,31,79
2021,Cagliari,San Vito,7,277,1079,125,631
2021,Cagliari,San Vito,8,315,1227,53,146
2021,Cagliari,San Vito,9,131,379,68,183
2021,Cagliari,San Vito,10,41,116,31,102
2021,Cagliari,San Vito,11,15,23,8,14
2021,Cagliari,Sarroch,1,32,249,0,0
2021,Cagliari,Sarroch,2,28,285,2,28
2021,Cagliari,Sarroch,3,17,221,8,34
2021,Cagliari,Sarroch,5,46,143,14,61
2021,Cagliari,Sarroch,6,130,588,44,224
2021,Cagliari,Sarroch,7,461,2348,197,1246
2021,Cagliari,Sarroch,8,460,2860,153,982
2021,Cagliari,Sarroch,9,237,1258,130,791
2021,Cagliari,Sarroch,10,100,443,69,336
2021,Cagliari,Sarroch,11,29,162,17,120
2021,Cagliari,Sarroch,12,20,102,6,48
2021,Cagliari,Selargius,1,355,796,19,28
2021,Cagliari,Selargius,2,457,944,33,38
2021,Cagliari,Selargius,3,633,1273,117,200
2021,Cagliari,Selargius,5,667,1512,39,54
2021,Cagliari,Selargius,6,873,1813,126,168
2021,Cagliari,Selargius,7,1479,3672,329,813
2021,Cagliari,Selargius,8,1973,5623,626,1645
2021,Cagliari,Selargius,9,1552,3294,382,780
2021,Cagliari,Selargius,10,1224,1972,154,277
2021,Cagliari,Selargius,11,772,1272,45,81
2021,Cagliari,Selargius,12,684,1148,69,148
2021,Cagliari,Senorbì,1,23,60,0,0
2021,Cagliari,Senorbì,2,30,83,0,0
2021,Cagliari,Senorbì,3,19,72,0,0
2021,Cagliari,Senorbì,4,11,53,0,0
2021,Cagliari,Senorbì,5,10,44,0,0
2021,Cagliari,Senorbì,6,16,53,0,0
2021,Cagliari,Senorbì,7,22,59,0,0
2021,Cagliari,Senorbì,8,24,62,3,6
2021,Cagliari,Senorbì,9,30,144,1,17
2021,Cagliari,Senorbì,10,12,39,0,6
2021,Cagliari,Senorbì,11,15,29,0,0
2021,Cagliari,Senorbì,12,13,33,0,0
2021,Cagliari,Sestu,1,33,142,0,0
2021,Cagliari,Sestu,2,35,197,2,6
2021,Cagliari,Sestu,3,39,213,0,0
2021,Cagliari,Sestu,4,25,88,0,0
2021,Cagliari,Sestu,5,29,119,2,6
2021,Cagliari,Sestu,6,93,227,20,47
2021,Cagliari,Sestu,7,168,557,70,248
2021,Cagliari,Sestu,8,226,856,48,114
2021,Cagliari,Sestu,9,102,342,21,31
2021,Cagliari,Sestu,10,88,274,11,29
2021,Cagliari,Sestu,11,60,195,8,30
2021,Cagliari,Sestu,12,64,189,3,9
2021,Cagliari,Settimo San Pietro,0,94,393,11,25
2021,Cagliari,Settimo San Pietro,1,6,31,0,0
2021,Cagliari,Settimo San Pietro,2,0,3,0,0
2021,Cagliari,Siliqua,0,95,196,37,81
2021,Cagliari,Siliqua,3,4,10,0,0
2021,Cagliari,Siliqua,4,1,2,0,0
2021,Cagliari,Siliqua,5,4,4,0,0
2021,Cagliari,Siliqua,6,5,5,4,4
2021,Cagliari,Sinnai,1,5,15,0,0
2021,Cagliari,Sinnai,2,3,4,0,0
2021,Cagliari,Sinnai,4,34,88,2,3
