anno,provincia,mese,provenienza,estero,arrivi,presenze
2021,Cagliari,0,Sardegna,0,363,925
2021,Cagliari,0,Campania,0,83,448
2021,Cagliari,0,Lombardia,0,101,375
2021,Cagliari,0,Calabria,0,23,189
2021,Cagliari,0,Lazio,0,58,155
2021,Cagliari,0,Germania,1,49,146
2021,Cagliari,0,Emilia Romagna,0,50,121
2021,Cagliari,0,Piemonte,0,42,120
2021,Cagliari,0,Veneto,0,31,99
2021,Cagliari,0,Francia,1,63,94
2021,Cagliari,0,Friuli-Venezia Giulia,0,15,73
2021,Cagliari,0,Toscana,0,26,65
2021,Cagliari,0,Belgio,1,28,54
2021,Cagliari,0,Sicilia,0,22,49
2021,Cagliari,0,Paesi Bassi,1,22,47
2021,Cagliari,0,Puglia,0,12,43
2021,Cagliari,0,Liguria,0,17,40
2021,Cagliari,0,Abruzzo,0,14,39
2021,Cagliari,0,Marche,0,16,38
2021,Cagliari,0,Svizzera (incluso Liechtenstein),1,14,34
2021,Cagliari,0,Spagna,1,10,27
2021,Cagliari,0,Austria,1,15,22
2021,Cagliari,0,Polonia,1,9,14
2021,Cagliari,0,Slovenia,1,4,10
2021,Cagliari,0,Basilicata,0,1,8
2021,Cagliari,0,Slovacchia,1,2,6
2021,Cagliari,0,Bolzano,0,4,5
2021,Cagliari,0,Umbria,0,3,5
2021,Cagliari,0,Regno Unito,1,3,5
2021,Cagliari,0,Lituania,1,5,5
2021,Cagliari,0,Trento,0,2,4
2021,Cagliari,0,Canada,1,4,4
2021,Cagliari,0,Corea del Sud,1,1,3
2021,Cagliari,0,Lussemburgo,1,2,2
2021,Cagliari,0,Repubblica Ceca,1,2,2
2021,Cagliari,0,Estonia,1,1,1
2021,Cagliari,0,Altri Paesi dell'Asia,1,1,1
2021,Cagliari,1,Sardegna,0,3395,7473
2021,Cagliari,1,Lombardia,0,751,1576
2021,Cagliari,1,Lazio,0,709,1223
2021,Cagliari,1,Sicilia,0,289,1140
2021,Cagliari,1,Emilia Romagna,0,282,779
2021,Cagliari,1,Campania,0,297,753
2021,Cagliari,1,Toscana,0,229,665
2021,Cagliari,1,Puglia,0,163,505
2021,Cagliari,1,Piemonte,0,195,465
2021,Cagliari,1,Veneto,0,202,459
2021,Cagliari,1,Liguria,0,116,373
2021,Cagliari,1,Abruzzo,0,83,281
2021,Cagliari,1,Romania,1,41,156
2021,Cagliari,1,Brasile,1,9,155
2021,Cagliari,1,Calabria,0,52,138
2021,Cagliari,1,Germania,1,31,128
2021,Cagliari,1,Polonia,1,14,94
2021,Cagliari,1,Francia,1,40,88
2021,Cagliari,1,Umbria,0,47,84
2021,Cagliari,1,Marche,0,48,78
2021,Cagliari,1,Friuli-Venezia Giulia,0,46,68
2021,Cagliari,1,Austria,1,15,60
2021,Cagliari,1,Croazia,1,17,57
2021,Cagliari,1,Repubblica Ceca,1,3,52
2021,Cagliari,1,Stati Uniti d'America,1,21,50
2021,Cagliari,1,Spagna,1,28,46
2021,Cagliari,1,Bolzano,0,29,45
2021,Cagliari,1,Trento,0,15,45
2021,Cagliari,1,Altri Paesi dell'Africa,1,14,43
2021,Cagliari,1,Altri Paesi Africa Mediterranea,1,7,35
2021,Cagliari,1,Cina,1,7,35
2021,Cagliari,1,Norvegia,1,1,31
2021,Cagliari,1,Lituania,1,11,25
2021,Cagliari,1,Ucraina,1,8,25
2021,Cagliari,1,Basilicata,0,8,22
2021,Cagliari,1,Bulgaria,1,14,21
2021,Cagliari,1,Russia,1,10,21
2021,Cagliari,1,Slovenia,1,2,21
2021,Cagliari,1,Altri Paesi dell'Asia,1,12,21
2021,Cagliari,1,Grecia,1,13,19
2021,Cagliari,1,Portogallo,1,7,19
2021,Cagliari,1,Valle d'Aosta,0,5,19
2021,Cagliari,1,Regno Unito,1,13,17
2021,Cagliari,1,Molise,0,11,15
2021,Cagliari,1,Svizzera (incluso Liechtenstein),1,8,14
2021,Cagliari,1,Turchia,1,3,13
2021,Cagliari,1,Belgio,1,6,10
2021,Cagliari,1,Altri Paesi Asia Occidentale,1,1,10
2021,Cagliari,1,Irlanda,1,3,9
2021,Cagliari,1,India,1,2,9
2021,Cagliari,1,Altri Paesi Europei,1,5,8
2021,Cagliari,1,Venezuela,1,2,8
2021,Cagliari,1,Altri Paesi Centro - Sud America,1,3,6
2021,Cagliari,1,Slovacchia,1,1,4
2021,Cagliari,1,Messico,1,1,4
2021,Cagliari,1,Canada,1,2,3
2021,Cagliari,1,Paesi Bassi,1,2,2
2021,Cagliari,1,Svezia,1,2,2
2021,Cagliari,1,Lettonia,1,2,2
2021,Cagliari,1,Argentina,1,2,2
2021,Cagliari,1,Danimarca,1,1,1
2021,Cagliari,1,Egitto,1,1,1
2021,Cagliari,1,Altri Paesi o territori del Nord Americani,1,1,1
2021,Cagliari,1,Corea del Sud,1,1,1
2021,Cagliari,2,Sardegna,0,5130,9018
2021,Cagliari,2,Lombardia,0,914,2044
2021,Cagliari,2,Lazio,0,976,1942
2021,Cagliari,2,Sicilia,0,277,1120
2021,Cagliari,2,Toscana,0,260,944
2021,Cagliari,2,Emilia Romagna,0,319,771
2021,Cagliari,2,Piemonte,0,310,730
2021,Cagliari,2,Campania,0,307,709
2021,Cagliari,2,Puglia,0,203,686
2021,Cagliari,2,Veneto,0,264,635
2021,Cagliari,2,Liguria,0,169,488
2021,Cagliari,2,Germania,1,37,286
2021,Cagliari,2,Abruzzo,0,85,215
2021,Cagliari,2,Calabria,0,90,205
2021,Cagliari,2,Romania,1,34,178
2021,Cagliari,2,Francia,1,56,167
2021,Cagliari,2,Svizzera (incluso Liechtenstein),1,44,134
2021,Cagliari,2,Marche,0,56,131
2021,Cagliari,2,Polonia,1,37,113
2021,Cagliari,2,Friuli-Venezia Giulia,0,48,111
2021,Cagliari,2,Croazia,1,17,109
2021,Cagliari,2,Austria,1,27,106
2021,Cagliari,2,Umbria,0,51,98
2021,Cagliari,2,Repubblica Ceca,1,10,97
2021,Cagliari,2,Bulgaria,1,1,87
2021,Cagliari,2,Basilicata,0,25,85
2021,Cagliari,2,Portogallo,1,9,83
2021,Cagliari,2,Spagna,1,29,81
2021,Cagliari,2,Trento,0,26,75
2021,Cagliari,2,Bolzano,0,24,63
2021,Cagliari,2,Lituania,1,5,56
2021,Cagliari,2,Paesi Bassi,1,12,48
2021,Cagliari,2,Grecia,1,28,46
2021,Cagliari,2,Brasile,1,12,46
2021,Cagliari,2,Ucraina,1,13,39
2021,Cagliari,2,Altri Paesi dell'Asia,1,12,32
2021,Cagliari,2,Altri Paesi Europei,1,16,31
2021,Cagliari,2,Molise,0,11,28
2021,Cagliari,2,Altri Paesi dell'Africa,1,7,26
2021,Cagliari,2,Russia,1,6,25
2021,Cagliari,2,Stati Uniti d'America,1,13,23
2021,Cagliari,2,Turchia,1,1,21
2021,Cagliari,2,Belgio,1,11,19
2021,Cagliari,2,Ungheria,1,8,19
2021,Cagliari,2,Altri Paesi Africa Mediterranea,1,5,19
2021,Cagliari,2,Regno Unito,1,5,17
2021,Cagliari,2,India,1,9,17
2021,Cagliari,2,Argentina,1,3,16
2021,Cagliari,2,Altri Paesi Centro - Sud America,1,6,13
2021,Cagliari,2,Valle d'Aosta,0,4,13
2021,Cagliari,2,Svezia,1,6,8
2021,Cagliari,2,Malta,1,3,8
2021,Cagliari,2,Estonia,1,3,5
2021,Cagliari,2,Egitto,1,1,4
2021,Cagliari,2,Cina,1,3,4
2021,Cagliari,2,Slovenia,1,2,3
2021,Cagliari,2,Danimarca,1,2,2
2021,Cagliari,2,Finlandia,1,1,2
2021,Cagliari,2,Giappone,1,1,2
2021,Cagliari,2,Altri Paesi Asia Occidentale,1,0,2
2021,Cagliari,2,Canada,1,1,1
2021,Cagliari,2,Messico,1,1,1
2021,Cagliari,2,Venezuela,1,1,1
2021,Cagliari,2,Israele,1,1,1
2021,Cagliari,2,Australia,1,1,1
2021,Cagliari,2,Nuova Zelanda,1,1,1
2021,Cagliari,3,Sardegna,0,5379,9821
2021,Cagliari,3,Lombardia,0,1162,2487
2021,Cagliari,3,Lazio,0,1140,2428
2021,Cagliari,3,Sicilia,0,341,1215
2021,Cagliari,3,Emilia Romagna,0,442,1194
2021,Cagliari,3,Campania,0,374,1187
2021,Cagliari,3,Piemonte,0,434,1020
2021,Cagliari,3,Veneto,0,401,928
2021,Cagliari,3,Toscana,0,376,827
2021,Cagliari,3,Puglia,0,235,713
2021,Cagliari,3,Francia,1,271,689
2021,Cagliari,3,Liguria,0,216,584
2021,Cagliari,3,Germania,1,97,439
2021,Cagliari,3,Svizzera (incluso Liechtenstein),1,114,263
2021,Cagliari,3,Abruzzo,0,90,258
2021,Cagliari,3,Calabria,0,121,258
2021,Cagliari,3,Portogallo,1,24,224
2021,Cagliari,3,Marche,0,108,213
2021,Cagliari,3,Umbria,0,98,193
2021,Cagliari,3,Romania,1,41,174
2021,Cagliari,3,Repubblica Ceca,1,16,158
2021,Cagliari,3,Spagna,1,59,152
