slug,territorio,mese,n_recensioni
bergamo,Bergamo,2011-06,1
bergamo,Bergamo,2011-07,1
bergamo,Bergamo,2012-03,1
bergamo,Bergamo,2012-04,2
bergamo,Bergamo,2012-05,5
bergamo,Bergamo,2012-06,2
bergamo,Bergamo,2012-07,6
bergamo,Bergamo,2012-08,6
bergamo,Bergamo,2012-09,7
bergamo,Bergamo,2012-10,5
bergamo,Bergamo,2012-11,4
bergamo,Bergamo,2012-12,4
bergamo,Bergamo,2013-01,2
bergamo,Bergamo,2013-02,5
bergamo,Bergamo,2013-03,4
bergamo,Bergamo,2013-04,4
bergamo,Bergamo,2013-05,9
bergamo,Bergamo,2013-06,9
bergamo,Bergamo,2013-07,13
bergamo,Bergamo,2013-08,16
bergamo,Bergamo,2013-09,33
bergamo,Bergamo,2013-10,33
bergamo,Bergamo,2013-11,19
bergamo,Bergamo,2013-12,10
bergamo,Bergamo,2014-01,9
bergamo,Bergamo,2014-02,14
bergamo,Bergamo,2014-03,19
bergamo,Bergamo,2014-04,27
bergamo,Bergamo,2014-05,19
bergamo,Bergamo,2014-06,41
bergamo,Bergamo,2014-07,51
bergamo,Bergamo,2014-08,50
bergamo,Bergamo,2014-09,49
bergamo,Bergamo,2014-10,39
bergamo,Bergamo,2014-11,32
bergamo,Bergamo,2014-12,16
bergamo,Bergamo,2015-01,22
bergamo,Bergamo,2015-02,18
bergamo,Bergamo,2015-03,25
bergamo,Bergamo,2015-04,73
bergamo,Bergamo,2015-05,96
bergamo,Bergamo,2015-06,70
bergamo,Bergamo,2015-07,113
bergamo,Bergamo,2015-08,123
bergamo,Bergamo,2015-09,118
bergamo,Bergamo,2015-10,97
bergamo,Bergamo,2015-11,65
bergamo,Bergamo,2015-12,53
bergamo,Bergamo,2016-01,57
bergamo,Bergamo,2016-02,52
bergamo,Bergamo,2016-03,83
bergamo,Bergamo,2016-04,129
bergamo,Bergamo,2016-05,181
bergamo,Bergamo,2016-06,263
bergamo,Bergamo,2016-07,334
bergamo,Bergamo,2016-08,336
bergamo,Bergamo,2016-09,253
bergamo,Bergamo,2016-10,223
bergamo,Bergamo,2016-11,139
bergamo,Bergamo,2016-12,134
bergamo,Bergamo,2017-01,136
bergamo,Bergamo,2017-02,142
bergamo,Bergamo,2017-03,185
bergamo,Bergamo,2017-04,345
bergamo,Bergamo,2017-05,366
bergamo,Bergamo,2017-06,371
bergamo,Bergamo,2017-07,539
bergamo,Bergamo,2017-08,549
bergamo,Bergamo,2017-09,460
bergamo,Bergamo,2017-10,434
bergamo,Bergamo,2017-11,298
bergamo,Bergamo,2017-12,221
bergamo,Bergamo,2018-01,255
bergamo,Bergamo,2018-02,275
bergamo,Bergamo,2018-03,341
bergamo,Bergamo,2018-04,589
bergamo,Bergamo,2018-05,588
bergamo,Bergamo,2018-06,579
bergamo,Bergamo,2018-07,713
bergamo,Bergamo,2018-08,678
bergamo,Bergamo,2018-09,715
bergamo,Bergamo,2018-10,627
bergamo,Bergamo,2018-11,379
bergamo,Bergamo,2018-12,323
bergamo,Bergamo,2019-01,402
bergamo,Bergamo,2019-02,386
bergamo,Bergamo,2019-03,477
bergamo,Bergamo,2019-04,812
bergamo,Bergamo,2019-05,775
bergamo,Bergamo,2019-06,809
bergamo,Bergamo,2019-07,972
bergamo,Bergamo,2019-08,967
