slug,territorio,zona,n_annunci,adr_mediano
bergamo,Bergamo,Bergamo,1575,120.0
bergamo,Bergamo,Riva di Solto,121,200.0
bergamo,Bergamo,Lovere,118,152.0
bergamo,Bergamo,Seriate,73,107.0
bergamo,Bergamo,Solto Collina,62,172.0
bergamo,Bergamo,Costa Volpino,62,136.0
bergamo,Bergamo,Parzanica,61,202.0
bergamo,Bergamo,Sarnico,58,168.0
bergamo,Bergamo,Predore,55,206.0
bergamo,Bergamo,Castione della Presolana,49,138.0
bergamo,Bergamo,Clusone,44,115.0
bergamo,Bergamo,Tavernola Bergamasca,39,144.0
bergamo,Bergamo,San Pellegrino Terme,38,111.0
bergamo,Bergamo,Orio al Serio,38,100.0
bergamo,Bergamo,Fonteno,37,164.0
bergamo,Bergamo,Azzano San Paolo,36,94.0
bergamo,Bergamo,Serina,36,104.0
bergamo,Bergamo,Ranzanico,33,172.0
bergamo,Bergamo,Colere,32,130.0
bergamo,Bergamo,Stezzano,30,89.0
bergamo,Bergamo,Grassobbio,30,117.0
bergamo,Bergamo,Foppolo,29,116.0
bergamo,Bergamo,Rota d'Imagna,28,125.0
bergamo,Bergamo,Schilpario,28,132.0
bergamo,Bergamo,Bossico,27,130.0
bergamo,Bergamo,Alzano Lombardo,26,78.0
bergamo,Bergamo,Zogno,25,90.0
bergamo,Bergamo,Osio Sotto,25,85.0
bergamo,Bergamo,Roncola,24,111.0
bergamo,Bergamo,Castro,24,140.0
bergamo,Bergamo,Zanica,22,91.0
bergamo,Bergamo,Valbondione,22,117.0
bergamo,Bergamo,Branzi,22,138.0
bergamo,Bergamo,Oltre il Colle,22,83.0
bergamo,Bergamo,Treviglio,21,106.0
bergamo,Bergamo,Selvino,21,146.0
bergamo,Bergamo,Dalmine,21,105.0
bergamo,Bergamo,Vilminore di Scalve,20,124.0
bergamo,Bergamo,Monasterolo del Castello,19,116.0
bergamo,Bergamo,Ponteranica,18,128.0
bergamo,Bergamo,Ponte San Pietro,17,104.0
bergamo,Bergamo,Capriate San Gervasio,17,117.0
bergamo,Bergamo,Endine Gaiano,17,152.0
bergamo,Bergamo,Gromo,17,133.0
bergamo,Bergamo,Palazzago,17,113.0
bergamo,Bergamo,Aviatico,17,135.0
bergamo,Bergamo,Almenno San Salvatore,17,168.0
bergamo,Bergamo,Ardesio,15,116.0
bergamo,Bergamo,Fuipiano Valle Imagna,15,114.0
bergamo,Bergamo,Onore,14,97.0
bergamo,Bergamo,Sant'Omobono Terme,13,180.0
bergamo,Bergamo,Sorisole,13,124.0
bergamo,Bergamo,Trescore Balneario,13,105.0
bergamo,Bergamo,Santa Brigida,12,94.0
bergamo,Bergamo,Villongo,12,176.0
bergamo,Bergamo,Sovere,12,108.0
bergamo,Bergamo,Spinone al Lago,11,143.0
bergamo,Bergamo,Rogno,11,136.0
bergamo,Bergamo,Cerete,11,132.0
bergamo,Bergamo,Villa d'Alm�,11,85.0
bergamo,Bergamo,Piazzatorre,10,100.0
bergamo,Bergamo,Almenno San Bartolomeo,10,149.0
bergamo,Bergamo,Treviolo,10,96.0
bergamo,Bergamo,Scanzorosciate,9,110.0
bergamo,Bergamo,Albino,9,82.0
bergamo,Bergamo,Gandosso,9,144.0
bergamo,Bergamo,San Giovanni Bianco,9,97.0
bergamo,Bergamo,Costa Serina,9,83.0
bergamo,Bergamo,Carona,9,126.0
bergamo,Bergamo,Rovetta,8,114.0
bergamo,Bergamo,Casazza,8,165.0
bergamo,Bergamo,Urgnano,8,72.0
bergamo,Bergamo,Roncobello,8,110.0
bergamo,Bergamo,Torre Boldone,8,99.0
bergamo,Bergamo,Pedrengo,8,96.0
bergamo,Bergamo,Cavernago,8,258.0
