anno,sigla_provincia,comune,cod_istat,ambito,arrivi_italiani,arrivi_stranieri,presenze_italiane,presenze_straniere
2018,AR,Anghiari,51001,Valtiberina,5516,1824,11798,8165
2018,AR,Arezzo,51002,Arezzo,138900,98551,241359,213917
2018,AR,Badia Tedalda,51003,Valtiberina,819,80,3823,450
2018,AR,Bibbiena,51004,Casentino,6837,1891,17421,9614
2018,AR,Bucine,51005,Valdarno Aretino,3570,11346,21581,84806
2018,AR,Capolona,51006,Arezzo,354,924,1168,6665
2018,AR,Caprese Michelangelo,51007,Valtiberina,684,589,1698,3001
2018,AR,Castel Focognano,51008,Casentino,41,170,85,1351
2018,AR,Castel San Niccol?,51010,Casentino,475,776,848,4674
2018,AR,Castelfranco Piandisco,51040,Valdarno Aretino,732,1549,3263,9879
2018,AR,Castiglion Fibocchi,51011,Arezzo,186,887,503,5836
2018,AR,Castiglion Fiorentino,51012,Valdichiana  Aretina,10909,20936,22555,62494
2018,AR,Cavriglia,51013,Valdarno Aretino,5153,11068,14427,80488
2018,AR,Chitignano,51014,Casentino,365,48,1202,147
2018,AR,Chiusi della Verna,51015,Casentino,6942,3141,14876,5687
2018,AR,Civitella in Val di Chiana,51016,Valdichiana  Aretina,3000,1864,6341,9999
2018,AR,Cortona,51017,Valdichiana  Aretina,22512,29511,46187,144543
2018,AR,Foiano della Chiana,51018,Valdichiana  Aretina,4272,3605,8371,18705
2018,AR,Laterina Pergine Valdarno,51042,Valdarno Aretino,6487,7021,13176,26818
2018,AR,Loro Ciuffenna,51020,Valdarno Aretino,1691,10092,3515,45185
2018,AR,Lucignano,51021,Valdichiana  Aretina,1157,1521,4237,11532
2018,AR,Marciano della Chiana,51022,Valdichiana  Aretina,118,236,626,1742
2018,AR,Monte San Savino,51025,Valdichiana  Aretina,6797,4841,11819,19703
2018,AR,Montemignaio,51023,Casentino,236,813,2843,3606
2018,AR,Monterchi,51024,Valtiberina,65,202,250,1368
2018,AR,Montevarchi,51026,Valdarno Aretino,13087,7223,32587,25492
2018,AR,Ortignano Raggiolo,51027,Casentino,579,578,1311,5647
2018,AR,Pieve Santo Stefano,51030,Valtiberina,6241,3399,13581,7308
2018,AR,Poppi,51031,Casentino,17018,5644,44617,25606
2018,AR,Pratovecchio Stia,51041,Casentino,4211,2159,8823,9598
2018,AR,San Giovanni Valdarno,51033,Valdarno Aretino,1185,673,5444,4149
2018,AR,Sansepolcro,51034,Valtiberina,21405,8407,41093,25375
2018,AR,Sestino,51035,Valtiberina,114,94,284,782
2018,AR,Subbiano,51037,Casentino,3372,2341,8929,12036
2018,AR,Talla,51038,Casentino,772,40,2534,261
2018,AR,Terranuova Bracciolini,51039,Valdarno Aretino,21236,11626,44868,27019
2018,FI,Bagno a Ripoli,48001,Firenze e Area Fiorentina,10531,18627,42954,81178
2018,FI,Barberino Val d'Elsa,48003,Chianti,9073,26189,19309,116933
2018,FI,Barberino di Mugello,48002,Mugello,30621,14528,61845,35555
2018,FI,Borgo San Lorenzo,48004,Mugello,13414,14176,28356,43565
2018,FI,Calenzano,48005,Firenze e Area Fiorentina,59823,106697,127960,218487
2018,FI,Campi Bisenzio,48006,Firenze e Area Fiorentina,43116,61148,144990,149535
2018,FI,Capraia e Limite,48008,Empolese/Valdelsa,3345,2512,17422,14960
2018,FI,Castelfiorentino,48010,Empolese/Valdelsa,4115,5671,14812,35594
2018,FI,Cerreto Guidi,48011,Empolese/Valdelsa,1485,2539,10663,23509
2018,FI,Certaldo,48012,Empolese/Valdelsa,8349,17083,19442,90472
2018,FI,Dicomano,48013,Mugello,814,1672,3495,13958
2018,FI,Empoli,48014,Empolese/Valdelsa,9036,3161,29217,20725
2018,FI,Fiesole,48015,Firenze e Area Fiorentina,14988,36563,34596,118204
2018,FI,Figline e Incisa Valdarno,48052,Firenze e Area Fiorentina,33084,60699,182171,440881
2018,FI,Firenze,48017,Firenze e Area Fiorentina,1043395,2902056,2833148,7868192
2018,FI,Firenzuola,48018,Mugello,4260,1605,12402,11418
2018,FI,Fucecchio,48019,Empolese/Valdelsa,3898,3114,19121,15987
2018,FI,Gambassi Terme,48020,Empolese/Valdelsa,6023,9759,13152,55719
2018,FI,Greve in Chianti,48021,Chianti,8652,43029,25830,184852
2018,FI,Impruneta,48022,Firenze e Area Fiorentina,15695,32967,45505,90994
2018,FI,Lastra a Signa,48024,Firenze e Area Fiorentina,12274,10964,42090,40490
2018,FI,Londa,48025,Firenze e Area Fiorentina,295,549,1751,3454
2018,FI,Marradi,48026,Mugello,3296,1021,19241,8777
2018,FI,Montaione,48027,Empolese/Valdelsa,12455,41394,36461,264618
2018,FI,Montelupo Fiorentino,48028,Empolese/Valdelsa,4166,1721,10465,8186
2018,FI,Montespertoli,48030,Empolese/Valdelsa,7725,18473,31545,121626
2018,FI,Palazzuolo sul Senio,48031,Mugello,2845,1851,9993,14993
2018,FI,Pelago,48032,Firenze e Area Fiorentina,3306,3029,18460,20055
2018,FI,Pontassieve,48033,Firenze e Area Fiorentina,7759,53709,21011,92479
2018,FI,Reggello,48035,Firenze e Area Fiorentina,17623,55181,48401,123704
2018,FI,Rignano sull'Arno,48036,Firenze e Area Fiorentina,5011,21123,12819,78640
2018,FI,Rufina,48037,Firenze e Area Fiorentina,913,1096,3309,5306
2018,FI,San Casciano in Val di Pesa,48038,Chianti,11774,29870,37671,127112
2018,FI,San Godenzo,48039,Mugello,2187,371,7315,2565
2018,FI,Scandicci,48041,Firenze e Area Fiorentina,11816,4809,36247,19415
2018,FI,Scarperia e San Piero,48053,Mugello,20608,13763,50327,60807
2018,FI,Sesto Fiorentino,48043,Firenze e Area Fiorentina,37339,61902,160997,232841
2018,FI,Signa,48044,Firenze e Area Fiorentina,13812,39350,40397,51790
2018,FI,Tavarnelle Val di Pesa,48045,Chianti,11781,29140,29880,134748
2018,FI,Vaglia,48046,Firenze e Area Fiorentina,5002,8171,21661,26171
2018,FI,Vicchio,48049,Mugello,3047,4511,13210,24585
2018,FI,Vinci,48050,Empolese/Valdelsa,12305,10148,27699,35461
2018,GR,Arcidosso,53001,Amiata,2701,863,6816,3798
2018,GR,Campagnatico,53002,Maremma,687,814,3374,6313
2018,GR,Capalbio,53003,Maremma,32114,5652,125657,25408
2018,GR,Castel del Piano,53004,Amiata,10913,2659,24071,8951
2018,GR,Castell'Azzara,53005,Amiata,969,492,3328,3007
2018,GR,Castiglione della Pescaia,53006,Maremma Area Nord,152726,73695,846886,514809
2018,GR,Cinigiano,53007,Maremma,2448,4800,6833,19540
2018,GR,Civitella Paganico,53008,Maremma,7543,6339,19571,23915
2018,GR,Follonica,53009,Maremma Area Nord,76279,20085,446307,145889
2018,GR,Gavorrano,53010,Maremma Area Nord,8278,9413,24564,59828
2018,GR,Grosseto,53011,Maremma,213048,38511,919607,204853
2018,GR,Isola del Giglio,53012,Maremma,17900,2018,69756,12441
2018,GR,Magliano in Toscana,53013,Maremma,15274,5611,50644,30558
2018,GR,Manciano,53014,Maremma,69221,14110,154978,41453
2018,GR,Massa Marittima,53015,Maremma Area Nord,21045,16321,92400,102160
2018,GR,Monte Argentario,53016,Maremma,41254,17941,128074,55539
2018,GR,Monterotondo Marittimo,53027,Maremma Area Nord,1769,982,4927,6669
2018,GR,Montieri,53017,Maremma Area Nord,1059,806,2992,5040
2018,GR,Orbetello,53018,Maremma,175674,29779,970012,177613
2018,GR,Pitigliano,53019,Maremma,10761,2963,19168,7245
2018,GR,Roccalbegna,53020,Amiata,1207,483,2533,2566
2018,GR,Roccastrada,53021,Maremma Area Nord,5780,4018,19358,23833
2018,GR,Santa Fiora,53022,Amiata,1563,306,4309,2032
2018,GR,Scansano,53023,Maremma,7840,2559,22463,15360
2018,GR,Scarlino,53024,Maremma Area Nord,35618,11435,185814,87265
2018,GR,Seggiano,53025,Amiata,2000,1459,4486,6421
2018,GR,Semproniano,53028,Maremma,6265,1017,13618,3120
2018,GR,Sorano,53026,Maremma,14300,4969,32649,18719
2018,LI,Bibbona,49001,Costa degli Etruschi,99895,55497,721877,403962
2018,LI,Campiglia Marittima,49002,Costa degli Etruschi,20681,8644,77978,57262
2018,LI,Campo nell'Elba,49003,Isola Elba,58659,23021,352617,162071
2018,LI,Capoliveri,49004,Isola Elba,83106,49295,563516,404839
2018,LI,Capraia Isola,49005,Livorno,5673,406,20240,1869
2018,LI,Castagneto Carducci,49006,Costa degli Etruschi,71639,54018,465750,426408
2018,LI,Cecina,49007,Costa degli Etruschi,66772,26721,414274,212287
2018,LI,Collesalvetti,49008,Livorno,8601,5830,19735,11542
2018,LI,Livorno,49009,Livorno,98714,70698,189486,158238
2018,LI,Marciana,49010,Isola Elba,28353,13672,146663,74748
2018,LI,Marciana Marina,49011,Isola Elba,16773,7957,66858,28123
2018,LI,Piombino,49012,Costa degli Etruschi,119991,30736,613649,191344
2018,LI,Porto Azzurro,49013,Isola Elba,22002,9822,147613,67266
2018,LI,Portoferraio,49014,Isola Elba,63833,41146,302380,242560
2018,LI,Rio,49021,Isola Elba,25311,8825,155897,63830
2018,LI,Rosignano Marittimo,49017,Costa degli Etruschi,63011,46935,310708,310116
2018,LI,San Vincenzo,49018,Costa degli Etruschi,85959,78621,465887,679904
2018,LI,Sassetta,49019,Costa degli Etruschi,4724,2189,8840,10771
2018,LI,Suvereto,49020,Costa degli Etruschi,8134,4150,33777,30648
2018,LU,Altopascio,46001,Piana di Lucca,14691,4172,35653,11721
2018,LU,Bagni di Lucca,46002,Garfagnana e Media Valle del Serchio,6435,2450,13141,9713
2018,LU,Barga,46003,Garfagnana e Media Valle del Serchio,13522,17278,39688,63409
2018,LU,Borgo a Mozzano,46004,Garfagnana e Media Valle del Serchio,2474,1556,6273,7575
2018,LU,Camaiore,46005,Versilia,85525,57500,338039,247439
2018,LU,Camporgiano,46006,Garfagnana e Media Valle del Serchio,822,1203,1513,9360
2018,LU,Capannori e Villa Basilica,46007+46034,Piana di Lucca,22474,15811,59529,62870
2018,LU,Careggine,46008,Garfagnana e Media Valle del Serchio,987,157,2261,659
2018,LU,Castelnuovo di Garfagnana,46009,Garfagnana e Media Valle del Serchio,7173,2452,15558,9835
2018,LU,Castiglione di Garfagnana,46010,Garfagnana e Media Valle del Serchio,5004,824,12112,5199
2018,LU,Coreglia Antelminelli,46011,Garfagnana e Media Valle del Serchio,601,2113,3580,14175
2018,LU,Fabbriche di Vergemoli,46036,Garfagnana e Media Valle del Serchio,21,50,31,372
2018,LU,Forte dei Marmi,46013,Versilia,64464,59400,182281,235331
2018,LU,Fosciandora,46014,Garfagnana e Media Valle del Serchio,408,325,788,2387
2018,LU,Gallicano,46015,Garfagnana e Media Valle del Serchio,1154,555,2697,3461
2018,LU,Lucca,46017,Piana di Lucca,105080,144361,185196,335989
2018,LU,Massarosa,46018,Versilia,6003,3433,15836,17530
2018,LU,Minucciano,46019,Garfagnana e Media Valle del Serchio,2350,845,5582,4670
2018,LU,Molazzana,46020,Garfagnana e Media Valle del Serchio,85,591,363,4831
2018,LU,Montecarlo,46021,Piana di Lucca,3203,2289,9011,10935
2018,LU,Pescaglia,46022,Garfagnana e Media Valle del Serchio,730,1084,2183,6552
2018,LU,Piazza al Serchio,46023,Garfagnana e Media Valle del Serchio,392,376,667,2351
2018,LU,Pietrasanta,46024,Versilia,72113,55561,286133,223526
2018,LU,Pieve Fosciana,46025,Garfagnana e Media Valle del Serchio,900,1238,1978,7072
2018,LU,Porcari,46026,Piana di Lucca,4385,570,13540,1490
2018,LU,San Romano in Garfagnana,46027,Garfagnana e Media Valle del Serchio,623,228,1498,1784
2018,LU,Seravezza,46028,Versilia,1692,463,7123,2157
2018,LU,Sillano Giuncugnano,46037,Garfagnana e Media Valle del Serchio,1213,195,5100,546
2018,LU,Stazzema,46030,Versilia,2083,145,3368,543
2018,LU,Vagli Sotto,46031,Garfagnana e Media Valle del Serchio,527,536,1255,3002
2018,LU,Viareggio,46033,Versilia,140292,95526,627301,409643
2018,LU,Villa Collemandina,46035,Garfagnana e Media Valle del Serchio,3802,526,12213,3201
2018,MS,Aulla,45001,Lunigiana,3945,1708,14845,4352
2018,MS,Bagnone,45002,Lunigiana,922,170,1535,408
2018,MS,Carrara,45003,Riviera Apuana,15477,5906,54990,17326
2018,MS,Casola in Lunigiana,45004,Lunigiana,197,584,495,2934
2018,MS,Comano,45005,Lunigiana,408,363,1113,1355
2018,MS,Filattiera,45006,Lunigiana,288,797,513,2064
2018,MS,Fivizzano,45007,Lunigiana,1635,1858,2996,6388
2018,MS,Fosdinovo,45008,Lunigiana,2902,1230,7922,3000
2018,MS,Licciana Nardi,45009,Lunigiana,3055,1751,5545,6375
2018,MS,Massa,45010,Riviera Apuana,148455,47442,676041,166359
2018,MS,Montignoso,45011,Riviera Apuana,13569,5638,51263,22047
2018,MS,Mulazzo,45012,Lunigiana,3850,1837,8244,8534
2018,MS,Podenzana,45013,Lunigiana,1330,436,2245,1010
2018,MS,Pontremoli,45014,Lunigiana,4269,2463,8098,5641
2018,MS,Tresana,45015,Lunigiana,436,148,1532,353
2018,MS,Villafranca in Lunigiana,45016,Lunigiana,1874,1647,5089,3385
2018,MS,Zeri,45017,Lunigiana,456,75,1304,120
2018,PI,Bientina,50001,Terre di Pisa,10817,1011,21315,2424
2018,PI,Buti,50002,Terre di Pisa,169,318,481,2216
2018,PI,Calci,50003,Terre di Pisa,855,1453,2228,8825
2018,PI,Calcinaia,50004,Terre di Pisa,2714,4989,5633,9899
