date,views
2019-01-01,9151
2019-02-01,8094
2019-03-01,9006
2019-04-01,9256
2019-05-01,9796
2019-06-01,9640
2019-07-01,9915
2019-08-01,10684
2019-09-01,9407
2019-10-01,9433
2019-11-01,7569
2019-12-01,8261
2020-01-01,9970
2020-02-01,12936
2020-03-01,21509
2020-04-01,10120
2020-05-01,8800
2020-06-01,8736
2020-07-01,10694
2020-08-01,13249
2020-09-01,11707
2020-10-01,14584
2020-11-01,7884
2020-12-01,9531
2021-01-01,9836
2021-02-01,8830
2021-03-01,9176
2021-04-01,9389
2021-05-01,10874
2021-06-01,11335
2021-07-01,14583
2021-08-01,15870
2021-09-01,12811
2021-10-01,11566
2021-11-01,8559
2021-12-01,8740
2022-01-01,9966
2022-02-01,9254
2022-03-01,9509
2022-04-01,10205
2022-05-01,10847
2022-06-01,11270
2022-07-01,10958
2022-08-01,11328
2022-09-01,11300
2022-10-01,9760
2022-11-01,7801
2022-12-01,7394
2023-01-01,11765
2023-02-01,9003
2023-03-01,9295
2023-04-01,10416
2023-05-01,16795
2023-06-01,11385
2023-07-01,11479
2023-08-01,11131
2023-09-01,9531
2023-10-01,8071
2023-11-01,7371
2023-12-01,6854
2024-01-01,8749
2024-02-01,8728
2024-03-01,10264
2024-04-01,10746
2024-05-01,11714
2024-06-01,10269
2024-07-01,10430
2024-08-01,10628
2024-09-01,10241
2024-10-01,9630
2024-11-01,7132
2024-12-01,7617
2025-01-01,8548
2025-02-01,8724
2025-03-01,8341
2025-04-01,9648
2025-05-01,9173
2025-06-01,7672
2025-07-01,8300
2025-08-01,9786
2025-09-01,9351
2025-10-01,8490
2025-11-01,12320
2025-12-01,6874
2026-01-01,8122
2026-02-01,8110
2026-03-01,8350
2026-04-01,8041
2026-05-01,8494
2026-06-01,279
