date,views
2019-01-01,20905
2019-02-01,19010
2019-03-01,20434
2019-04-01,19709
2019-05-01,20552
2019-06-01,18156
2019-07-01,18289
2019-08-01,19658
2019-09-01,18359
2019-10-01,19842
2019-11-01,19500
2019-12-01,19486
2020-01-01,22099
2020-02-01,23068
2020-03-01,32300
2020-04-01,26990
2020-05-01,23248
2020-06-01,19382
2020-07-01,21009
2020-08-01,20328
2020-09-01,19106
2020-10-01,21172
2020-11-01,20951
2020-12-01,22726
2021-01-01,23067
2021-02-01,22159
2021-03-01,24563
2021-04-01,21314
2021-05-01,24133
2021-06-01,22252
2021-07-01,35239
2021-08-01,27412
2021-09-01,28572
2021-10-01,28140
2021-11-01,24182
2021-12-01,22861
2022-01-01,27753
2022-02-01,23220
2022-03-01,24118
2022-04-01,25111
2022-05-01,28166
2022-06-01,26405
2022-07-01,29778
2022-08-01,31879
2022-09-01,35093
2022-10-01,33208
2022-11-01,30226
2022-12-01,27763
2023-01-01,35736
2023-02-01,31269
2023-03-01,35238
2023-04-01,31822
2023-05-01,37204
2023-06-01,32630
2023-07-01,32315
2023-08-01,30152
2023-09-01,31054
2023-10-01,28399
2023-11-01,27494
2023-12-01,28414
2024-01-01,30725
2024-02-01,28499
2024-03-01,32828
2024-04-01,29020
2024-05-01,32762
2024-06-01,28831
2024-07-01,27965
2024-08-01,27896
2024-09-01,28221
2024-10-01,26559
2024-11-01,25258
2024-12-01,27286
2025-01-01,29686
2025-02-01,31140
2025-03-01,28877
2025-04-01,31256
2025-05-01,36663
2025-06-01,25653
2025-07-01,26057
2025-08-01,26431
2025-09-01,24654
2025-10-01,25039
2025-11-01,28872
2025-12-01,22686
2026-01-01,24114
2026-02-01,21435
2026-03-01,22313
2026-04-01,22779
2026-05-01,24514
2026-06-01,785
