date,views
2019-01-01,1015
2019-02-01,975
2019-03-01,1052
2019-04-01,963
2019-05-01,1137
2019-06-01,866
2019-07-01,972
2019-08-01,995
2019-09-01,921
2019-10-01,808
2019-11-01,812
2019-12-01,926
2020-01-01,976
2020-02-01,1105
2020-03-01,1262
2020-04-01,973
2020-05-01,736
2020-06-01,733
2020-07-01,1088
2020-08-01,792
2020-09-01,878
2020-10-01,989
2020-11-01,730
2020-12-01,1540
2021-01-01,757
2021-02-01,792
2021-03-01,887
2021-04-01,846
2021-05-01,898
2021-06-01,908
2021-07-01,1414
2021-08-01,1245
2021-09-01,1116
2021-10-01,1005
2021-11-01,799
2021-12-01,954
2022-01-01,871
2022-02-01,776
2022-03-01,817
2022-04-01,913
2022-05-01,1072
2022-06-01,944
2022-07-01,992
2022-08-01,1027
2022-09-01,1468
2022-10-01,1256
2022-11-01,1064
2022-12-01,893
2023-01-01,1081
2023-02-01,1032
2023-03-01,1409
2023-04-01,1086
2023-05-01,1323
2023-06-01,946
2023-07-01,1103
2023-08-01,1187
2023-09-01,1150
2023-10-01,1455
2023-11-01,1299
2023-12-01,1109
2024-01-01,1228
2024-02-01,1154
2024-03-01,1165
2024-04-01,1052
2024-05-01,1014
2024-06-01,916
2024-07-01,980
2024-08-01,984
2024-09-01,861
2024-10-01,825
2024-11-01,718
2024-12-01,1134
2025-01-01,1123
2025-02-01,1042
2025-03-01,884
2025-04-01,1022
2025-05-01,1013
2025-06-01,800
2025-07-01,921
2025-08-01,951
2025-09-01,745
2025-10-01,755
2025-11-01,3215
2025-12-01,1103
2026-01-01,1232
2026-02-01,706
2026-03-01,706
2026-04-01,756
2026-05-01,877
2026-06-01,23
