date,views
2019-01-01,9824
2019-02-01,10200
2019-03-01,8623
2019-04-01,9426
2019-05-01,9385
2019-06-01,9246
2019-07-01,10200
2019-08-01,11635
2019-09-01,8881
2019-10-01,8599
2019-11-01,6791
2019-12-01,10548
2020-01-01,9368
2020-02-01,9983
2020-03-01,13470
2020-04-01,8391
2020-05-01,9831
2020-06-01,8166
2020-07-01,10021
2020-08-01,11810
2020-09-01,12908
2020-10-01,13457
2020-11-01,9573
2020-12-01,8540
2021-01-01,12829
2021-02-01,8159
2021-03-01,11279
2021-04-01,12899
2021-05-01,13142
2021-06-01,10894
2021-07-01,13769
2021-08-01,17028
2021-09-01,12173
2021-10-01,9802
2021-11-01,7368
2021-12-01,10155
2022-01-01,9682
2022-02-01,10112
2022-03-01,9470
2022-04-01,9910
2022-05-01,12569
2022-06-01,13756
2022-07-01,11746
2022-08-01,13454
2022-09-01,12035
2022-10-01,10280
2022-11-01,8026
2022-12-01,7246
2023-01-01,15117
2023-02-01,10199
2023-03-01,9102
2023-04-01,12206
2023-05-01,19150
2023-06-01,11111
2023-07-01,11642
2023-08-01,15592
2023-09-01,10243
2023-10-01,7835
2023-11-01,7266
2023-12-01,9237
2024-01-01,9411
2024-02-01,8337
2024-03-01,11276
2024-04-01,12279
2024-05-01,11983
2024-06-01,12311
2024-07-01,10818
2024-08-01,10167
2024-09-01,10671
2024-10-01,8767
2024-11-01,6587
2024-12-01,9894
2025-01-01,9205
2025-02-01,7593
2025-03-01,7649
2025-04-01,10491
2025-05-01,8868
2025-06-01,8673
2025-07-01,8408
2025-08-01,10285
2025-09-01,9703
2025-10-01,8287
2025-11-01,8067
2025-12-01,6912
2026-01-01,7913
2026-02-01,7105
2026-03-01,8485
2026-04-01,9866
2026-05-01,12483
2026-06-01,318
