date,views
2019-01-01,42967
2019-02-01,51818
2019-03-01,40066
2019-04-01,31937
2019-05-01,34923
2019-06-01,29551
2019-07-01,35298
2019-08-01,29179
2019-09-01,26477
2019-10-01,28956
2019-11-01,29046
2019-12-01,27057
2020-01-01,34778
2020-02-01,28774
2020-03-01,29372
2020-04-01,29849
2020-05-01,37214
2020-06-01,30303
2020-07-01,28231
2020-08-01,28992
2020-09-01,24726
2020-10-01,30146
2020-11-01,32355
2020-12-01,42580
2021-01-01,35701
2021-02-01,27352
2021-03-01,29160
2021-04-01,26303
2021-05-01,31689
2021-06-01,25998
2021-07-01,29496
2021-08-01,27976
2021-09-01,34876
2021-10-01,31572
2021-11-01,26794
2021-12-01,35285
2022-01-01,29214
2022-02-01,22598
2022-03-01,23431
2022-04-01,23693
2022-05-01,27137
2022-06-01,24500
2022-07-01,26469
2022-08-01,29189
2022-09-01,23938
2022-10-01,22198
2022-11-01,20847
2022-12-01,22294
2023-01-01,26210
2023-02-01,22216
2023-03-01,25932
2023-04-01,25947
2023-05-01,28240
2023-06-01,23395
2023-07-01,25469
2023-08-01,23836
2023-09-01,22496
2023-10-01,20762
2023-11-01,20533
2023-12-01,22862
2024-01-01,25693
2024-02-01,22553
2024-03-01,35995
2024-04-01,28528
2024-05-01,28763
2024-06-01,27019
2024-07-01,28085
2024-08-01,29258
2024-09-01,26367
2024-10-01,32392
2024-11-01,65075
2024-12-01,59983
2025-01-01,47598
2025-02-01,31650
2025-03-01,34127
2025-04-01,29548
2025-05-01,32140
2025-06-01,32689
2025-07-01,28488
2025-08-01,27575
2025-09-01,25997
2025-10-01,23986
2025-11-01,40832
2025-12-01,33799
2026-01-01,27015
2026-02-01,22546
2026-03-01,23172
2026-04-01,22506
2026-05-01,24580
2026-06-01,770
