date,views
2019-01-01,28235
2019-02-01,46747
2019-03-01,33279
2019-04-01,34707
2019-05-01,32612
2019-06-01,20387
2019-07-01,22637
2019-08-01,24244
2019-09-01,20324
2019-10-01,21569
2019-11-01,21182
2019-12-01,19725
2020-01-01,26013
2020-02-01,23380
2020-03-01,41256
2020-04-01,44129
2020-05-01,40161
2020-06-01,23351
2020-07-01,25570
2020-08-01,31754
2020-09-01,24022
2020-10-01,24337
2020-11-01,32472
2020-12-01,29709
2021-01-01,28357
2021-02-01,26181
2021-03-01,34013
2021-04-01,33611
2021-05-01,33899
2021-06-01,22470
2021-07-01,24724
2021-08-01,29680
2021-09-01,19270
2021-10-01,17327
2021-11-01,17247
2021-12-01,18368
2022-01-01,21314
2022-02-01,17810
2022-03-01,20926
2022-04-01,23578
2022-05-01,23420
2022-06-01,16589
2022-07-01,18649
2022-08-01,24211
2022-09-01,17898
2022-10-01,16064
2022-11-01,18252
2022-12-01,15534
2023-01-01,19875
2023-02-01,18389
2023-03-01,22034
2023-04-01,22201
2023-05-01,25105
2023-06-01,18463
2023-07-01,20399
2023-08-01,22374
2023-09-01,16129
2023-10-01,14616
2023-11-01,14974
2023-12-01,16406
2024-01-01,21982
2024-02-01,24207
2024-03-01,62609
2024-04-01,24589
2024-05-01,22157
2024-06-01,14999
2024-07-01,15817
2024-08-01,18393
2024-09-01,15800
2024-10-01,17864
2024-11-01,15570
2024-12-01,15798
2025-01-01,17837
2025-02-01,15422
2025-03-01,17696
2025-04-01,16688
2025-05-01,17457
2025-06-01,12896
2025-07-01,14259
2025-08-01,16112
2025-09-01,13747
2025-10-01,13042
2025-11-01,12578
2025-12-01,12430
2026-01-01,14219
2026-02-01,11620
2026-03-01,14283
2026-04-01,14300
2026-05-01,13768
2026-06-01,382
