date,views
2019-01-01,1057
2019-02-01,1064
2019-03-01,1052
2019-04-01,1265
2019-05-01,1987
2019-06-01,1430
2019-07-01,1880
2019-08-01,1613
2019-09-01,1421
2019-10-01,1241
2019-11-01,1070
2019-12-01,1217
2020-01-01,1129
2020-02-01,1147
2020-03-01,1032
2020-04-01,805
2020-05-01,1079
2020-06-01,1009
2020-07-01,1124
2020-08-01,1333
2020-09-01,1504
2020-10-01,1671
2020-11-01,887
2020-12-01,934
2021-01-01,911
2021-02-01,675
2021-03-01,948
2021-04-01,745
2021-05-01,2090
2021-06-01,1388
2021-07-01,1755
2021-08-01,1758
2021-09-01,1193
2021-10-01,1014
2021-11-01,651
2021-12-01,761
2022-01-01,1072
2022-02-01,777
2022-03-01,1127
2022-04-01,940
2022-05-01,1786
2022-06-01,1292
2022-07-01,1361
2022-08-01,1410
2022-09-01,1147
2022-10-01,936
2022-11-01,869
2022-12-01,1026
2023-01-01,1117
2023-02-01,952
2023-03-01,1127
2023-04-01,1238
2023-05-01,3582
2023-06-01,1299
2023-07-01,2019
2023-08-01,1780
2023-09-01,1399
2023-10-01,932
2023-11-01,2485
2023-12-01,930
2024-01-01,1296
2024-02-01,1127
2024-03-01,1199
2024-04-01,2014
2024-05-01,2347
2024-06-01,1528
2024-07-01,1543
2024-08-01,1877
2024-09-01,1204
2024-10-01,1120
2024-11-01,922
2024-12-01,1565
2025-01-01,1269
2025-02-01,1088
2025-03-01,1048
2025-04-01,2268
2025-05-01,1702
2025-06-01,1556
2025-07-01,1492
2025-08-01,1591
2025-09-01,1440
2025-10-01,1081
2025-11-01,909
2025-12-01,1160
2026-01-01,1187
2026-02-01,1249
2026-03-01,1208
2026-04-01,1322
2026-05-01,2294
2026-06-01,48
